	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale
									
edu_junior	0.0449	0.0345	0.0346	-0.228	-0.241*	-0.243*			
	(0.101)	(0.101)	(0.101)	(0.141)	(0.142)	(0.142)			
edu_senior	-0.105	-0.127	-0.124	-0.358**	-0.399***	-0.395***			
	(0.102)	(0.103)	(0.103)	(0.142)	(0.145)	(0.145)			
edu_techhigh	-0.0687	-0.102	-0.0982	-0.347**	-0.396***	-0.390***			
	(0.108)	(0.109)	(0.109)	(0.148)	(0.151)	(0.150)			
edu_college	-0.0442	-0.105	-0.0993	-0.398***	-0.480***	-0.464***			
	(0.110)	(0.113)	(0.113)	(0.154)	(0.161)	(0.161)			
edu_univabove	0.0496	-0.0252	-0.0180	-0.186	-0.281	-0.263			
	(0.128)	(0.133)	(0.134)	(0.183)	(0.191)	(0.192)			
age	0.229	0.313	0.319	0.691**	0.811***	0.835***			
	(0.191)	(0.206)	(0.206)	(0.282)	(0.305)	(0.306)			
agesquared	-0.0191	-0.0275	-0.0278	-0.0755**	-0.0890**	-0.0907**			
	(0.0252)	(0.0265)	(0.0265)	(0.0369)	(0.0389)	(0.0389)			
male	0.205***	0.179***	0.178***	0.105	0.0699	0.0649			
	(0.0524)	(0.0534)	(0.0534)	(0.0752)	(0.0768)	(0.0769)			
birth_rate	0.0593	0.0505	0.0504	0.0462	0.0365	0.0377			
	(0.0441)	(0.0439)	(0.0439)	(0.0615)	(0.0614)	(0.0611)			
VeryEarly_disease_d	-0.155	-0.115	-0.115	-0.126	-0.0867	-0.0883			
	(0.209)	(0.211)	(0.211)	(0.317)	(0.315)	(0.314)			
income		0.0714*	0.0666*		0.102**	0.0881*			
		(0.0366)	(0.0374)		(0.0503)	(0.0512)			
married		-0.0660	-0.0670		-0.0959	-0.102			
		(0.0616)	(0.0617)		(0.0910)	(0.0919)			
health		0.0437	0.0435		0.0120	0.0103			
		(0.0328)	(0.0328)		(0.0466)	(0.0465)			
work_over_40h			0.0333			0.106			
			(0.0516)			(0.0735)			
Dedu_junior							-0.271	-0.283	-0.293
							(0.377)	(0.377)	(0.381)
Dedu_senior							-0.218	-0.238	-0.246
							(0.369)	(0.370)	(0.374)
Dedu_techhighcollege							-0.277	-0.294	-0.299
							(0.370)	(0.370)	(0.373)
Dedu_collegeabove							0.0989	0.0949	0.0966
							(0.149)	(0.149)	(0.149)
Dedu_univabove							-0.305	-0.331	-0.344
							(0.417)	(0.417)	(0.420)
Dbirth_rate							0.156	0.147	0.147
							(0.100)	(0.0993)	(0.0996)
DVeryEarly_disease_d							-0.290	-0.280	-0.289
							(0.185)	(0.190)	(0.189)
Dincome								0.0339	0.0266
								(0.0730)	(0.0750)
Dmarried								-0.0641	-0.0709
								(0.0970)	(0.0983)
Dhealth								-0.0359	-0.0367
								(0.0652)	(0.0650)
Dwork_over_40h									0.0610
									(0.0867)
Constant	1.938***	1.233***	1.235***	1.391**	0.586	0.585			
	(0.363)	(0.457)	(0.456)	(0.539)	(0.668)	(0.668)			
									
Observations	2,584	2,584	2,584	1,320	1,320	1,320	660	660	660
R-squared	0.019	0.022	0.022	0.032	0.036	0.038	0.008	0.009	0.010
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
