	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale
									
drink	-0.0131	-0.0149	-0.0154	-0.000345	-0.00158	-0.00223			
	(0.0118)	(0.0117)	(0.0117)	(0.0158)	(0.0157)	(0.0158)			
age	0.350**	0.281	0.287*	0.418**	0.242	0.253			
	(0.152)	(0.173)	(0.174)	(0.207)	(0.232)	(0.233)			
agesquared	-0.0269	-0.0188	-0.0191	-0.0373	-0.0183	-0.0191			
	(0.0202)	(0.0220)	(0.0220)	(0.0268)	(0.0289)	(0.0289)			
male	0.0772	0.0774	0.0765	0.00646	0.0191	0.0177			
	(0.0484)	(0.0488)	(0.0488)	(0.0667)	(0.0676)	(0.0677)			
birth_rate	0.0608*	0.0574	0.0575	0.0236	0.0232	0.0236			
	(0.0350)	(0.0350)	(0.0351)	(0.0437)	(0.0439)	(0.0441)			
VeryEarly_disease_d	-0.0926	-0.0780	-0.0777	0.0891	0.0738	0.0729			
	(0.146)	(0.146)	(0.146)	(0.155)	(0.155)	(0.153)			
income		0.00157	-0.00177		-0.0178	-0.0218			
		(0.0294)	(0.0298)		(0.0416)	(0.0423)			
married		0.0729	0.0719		0.154**	0.151*			
		(0.0573)	(0.0574)		(0.0783)	(0.0785)			
health		0.0508*	0.0506*		0.0301	0.0293			
		(0.0264)	(0.0264)		(0.0364)	(0.0363)			
work_over_40h			0.0313			0.0421			
			(0.0415)			(0.0569)			
d_Chengdu	-0.0477	-0.0625	-0.0613	-0.113	-0.125	-0.124			
	(0.0642)	(0.0647)	(0.0648)	(0.0870)	(0.0870)	(0.0872)			
d_Chongqing	-0.0621	-0.0623	-0.0630	-0.0820	-0.0822	-0.0821			
	(0.0805)	(0.0807)	(0.0805)	(0.120)	(0.119)	(0.119)			
d_Haerbin	0.0840	0.0727	0.0734	-0.0353	-0.0506	-0.0506			
	(0.0802)	(0.0805)	(0.0806)	(0.101)	(0.102)	(0.102)			
d_Hefei	-0.102*	-0.123**	-0.123**	-0.245***	-0.274***	-0.270***			
	(0.0614)	(0.0625)	(0.0625)	(0.0881)	(0.0902)	(0.0906)			
Ddrink							-0.0250	-0.0230	-0.0241
							(0.0251)	(0.0249)	(0.0249)
Dbirth_rate							0.0142	0.0279	0.0285
							(0.102)	(0.104)	(0.104)
DVeryEarly_disease_d							0.203	0.177	0.171
							(0.271)	(0.260)	(0.259)
Dincome								-0.0181	-0.0230
								(0.0628)	(0.0639)
Dmarried								0.133	0.129
								(0.0810)	(0.0815)
Dhealth								0.0259	0.0255
								(0.0505)	(0.0506)
Dwork_over_40h									0.0438
									(0.0716)
Constant	2.016***	1.919***	1.916***	2.097***	2.367***	2.355***			
	(0.287)	(0.378)	(0.379)	(0.397)	(0.525)	(0.526)			
									
Observations	2,555	2,555	2,555	1,320	1,320	1,320	660	660	660
R-squared	0.034	0.036	0.036	0.047	0.050	0.051	0.003	0.007	0.007
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
