	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale
									
drink	-0.0235*	-0.0248*	-0.0252*	-0.0139	-0.0140	-0.0156			
	(0.0137)	(0.0136)	(0.0136)	(0.0184)	(0.0183)	(0.0183)			
age	0.252	0.280	0.286	0.387	0.449*	0.477*			
	(0.171)	(0.188)	(0.188)	(0.250)	(0.269)	(0.269)			
agesquared	-0.0238	-0.0257	-0.0260	-0.0410	-0.0467	-0.0488			
	(0.0231)	(0.0244)	(0.0244)	(0.0333)	(0.0349)	(0.0348)			
male	0.149***	0.143***	0.142***	0.123	0.111	0.108			
	(0.0519)	(0.0524)	(0.0524)	(0.0746)	(0.0766)	(0.0763)			
birth_rate	0.0308	0.0260	0.0260	0.0348	0.0283	0.0294			
	(0.0407)	(0.0408)	(0.0408)	(0.0571)	(0.0572)	(0.0569)			
VeryEarly_disease_d	-0.0576	-0.0349	-0.0347	-0.144	-0.123	-0.126			
	(0.181)	(0.183)	(0.184)	(0.279)	(0.279)	(0.280)			
income		-0.0111	-0.0141		0.00741	-0.00237			
		(0.0321)	(0.0328)		(0.0477)	(0.0486)			
married		0.00727	0.00634		-0.0322	-0.0388			
		(0.0566)	(0.0567)		(0.0801)	(0.0806)			
health		0.0766**	0.0765**		0.0609	0.0591			
		(0.0300)	(0.0300)		(0.0438)	(0.0436)			
work_over_40h			0.0282			0.102			
			(0.0466)			(0.0667)			
d_Chengdu	0.0487	0.0382	0.0392	0.108	0.101	0.103			
	(0.0692)	(0.0689)	(0.0689)	(0.0966)	(0.0960)	(0.0958)			
d_Chongqing	-0.186**	-0.180**	-0.181**	-0.230*	-0.225*	-0.224*			
	(0.0761)	(0.0761)	(0.0761)	(0.118)	(0.117)	(0.117)			
d_Haerbin	-0.220**	-0.228**	-0.227**	-0.211	-0.221*	-0.221*			
	(0.0926)	(0.0926)	(0.0926)	(0.128)	(0.128)	(0.128)			
d_Hefei	-0.0528	-0.0704	-0.0703	-0.0683	-0.0789	-0.0686			
	(0.0627)	(0.0637)	(0.0638)	(0.0929)	(0.0946)	(0.0946)			
Ddrink							0.0335	0.0320	0.0361
							(0.0287)	(0.0287)	(0.0288)
Dbirth_rate							0.0858	0.0772	0.0751
							(0.0854)	(0.0845)	(0.0840)
DVeryEarly_disease_d							0.181	0.195	0.216
							(0.408)	(0.406)	(0.404)
Dincome								0.0252	0.0422
								(0.0666)	(0.0665)
Dmarried								-0.0683	-0.0512
								(0.104)	(0.103)
Dhealth								-0.0234	-0.0220
								(0.0627)	(0.0630)
Dwork_over_40h									-0.153*
									(0.0884)
Constant	1.943***	1.671***	1.668***	1.695***	1.322**	1.292**			
	(0.317)	(0.400)	(0.400)	(0.469)	(0.580)	(0.577)			
									
Observations	2,554	2,554	2,554	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.022	0.022	0.023	0.025	0.027	0.004	0.006	0.010
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
