	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale
									
drink	-0.00251	-0.00508	-0.00384	-0.00542	-0.00711	-0.00637			
	(0.0112)	(0.0111)	(0.0111)	(0.0142)	(0.0142)	(0.0142)			
age	0.357**	0.253	0.236	0.297	0.176	0.163			
	(0.156)	(0.177)	(0.178)	(0.211)	(0.237)	(0.239)			
agesquared	-0.0242	-0.0124	-0.0115	-0.0189	-0.00527	-0.00430			
	(0.0207)	(0.0225)	(0.0226)	(0.0273)	(0.0296)	(0.0298)			
male	0.0521	0.0499	0.0526	0.0596	0.0488	0.0504			
	(0.0482)	(0.0489)	(0.0490)	(0.0654)	(0.0664)	(0.0663)			
birth_rate	0.0425	0.0378	0.0377	0.0431	0.0354	0.0348			
	(0.0372)	(0.0368)	(0.0367)	(0.0489)	(0.0478)	(0.0478)			
VeryEarly_disease_d	0.0544	0.0746	0.0737	0.345***	0.365***	0.366***			
	(0.152)	(0.151)	(0.152)	(0.113)	(0.120)	(0.122)			
income		0.0404	0.0498*		0.0530	0.0576			
		(0.0270)	(0.0277)		(0.0383)	(0.0395)			
married		0.0849	0.0878		0.103	0.106			
		(0.0605)	(0.0604)		(0.0829)	(0.0830)			
health		0.0280	0.0283		0.0466	0.0474			
		(0.0267)	(0.0267)		(0.0372)	(0.0371)			
work_over_40h			-0.0885**			-0.0480			
			(0.0441)			(0.0602)			
d_Chengdu	0.0736	0.0553	0.0518	0.0114	-0.00848	-0.00932			
	(0.0653)	(0.0657)	(0.0659)	(0.0952)	(0.0950)	(0.0952)			
d_Chongqing	-0.145*	-0.148*	-0.146*	-0.0503	-0.0490	-0.0492			
	(0.0787)	(0.0788)	(0.0791)	(0.111)	(0.110)	(0.111)			
d_Haerbin	0.121	0.104	0.102	-0.0455	-0.0743	-0.0744			
	(0.0758)	(0.0768)	(0.0765)	(0.0967)	(0.0979)	(0.0976)			
d_Hefei	-0.0599	-0.0769	-0.0772	-0.114	-0.139	-0.144			
	(0.0636)	(0.0644)	(0.0641)	(0.0901)	(0.0907)	(0.0912)			
Ddrink							-0.0530*	-0.0529*	-0.0528*
							(0.0280)	(0.0282)	(0.0282)
Dbirth_rate							-0.0668	-0.0527	-0.0527
							(0.0962)	(0.0969)	(0.0970)
DVeryEarly_disease_d							0.620**	0.573**	0.573**
							(0.264)	(0.268)	(0.268)
Dincome								0.0841	0.0844
								(0.0584)	(0.0594)
Dmarried								0.232**	0.233**
								(0.103)	(0.103)
Dhealth								-0.0589	-0.0589
								(0.0570)	(0.0571)
Dwork_over_40h									-0.00237
									(0.0751)
Constant	2.041***	1.847***	1.855***	2.232***	1.919***	1.933***			
	(0.299)	(0.380)	(0.380)	(0.421)	(0.522)	(0.524)			
									
Observations	2,559	2,559	2,559	1,320	1,320	1,320	660	660	660
R-squared	0.044	0.046	0.048	0.041	0.046	0.047	0.016	0.031	0.031
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
