	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale
									
drink	-0.000792	-0.00279	-0.00242	0.000234	-0.000611	-0.000212			
	(0.0113)	(0.0112)	(0.0113)	(0.0143)	(0.0144)	(0.0144)			
age	0.253	0.242	0.236	0.296	0.244	0.237			
	(0.157)	(0.177)	(0.178)	(0.200)	(0.230)	(0.232)			
agesquared	-0.0184	-0.0163	-0.0160	-0.0227	-0.0168	-0.0163			
	(0.0206)	(0.0223)	(0.0223)	(0.0255)	(0.0282)	(0.0283)			
male	0.0636	0.0527	0.0534	-0.0263	-0.0347	-0.0338			
	(0.0503)	(0.0509)	(0.0510)	(0.0666)	(0.0674)	(0.0674)			
birth_rate	0.0621*	0.0560	0.0560	0.0431	0.0390	0.0387			
	(0.0361)	(0.0358)	(0.0358)	(0.0444)	(0.0442)	(0.0442)			
VeryEarly_disease_d	-0.0874	-0.0587	-0.0590	0.0845	0.0981	0.0986			
	(0.158)	(0.159)	(0.159)	(0.163)	(0.163)	(0.164)			
income		0.0547*	0.0574**		0.0388	0.0413			
		(0.0287)	(0.0290)		(0.0401)	(0.0408)			
married		0.00727	0.00809		0.0406	0.0422			
		(0.0577)	(0.0577)		(0.0801)	(0.0803)			
health		0.0257	0.0258		0.0158	0.0163			
		(0.0264)	(0.0264)		(0.0371)	(0.0371)			
work_over_40h			-0.0258			-0.0258			
			(0.0430)			(0.0586)			
d_Chengdu	-0.171**	-0.184***	-0.185***	-0.221**	-0.231**	-0.231**			
	(0.0692)	(0.0698)	(0.0699)	(0.0912)	(0.0914)	(0.0915)			
d_Chongqing	-0.0497	-0.0496	-0.0491	-0.0985	-0.0984	-0.0985			
	(0.0777)	(0.0778)	(0.0779)	(0.116)	(0.116)	(0.116)			
d_Haerbin	0.0340	0.0177	0.0172	-0.0420	-0.0568	-0.0568			
	(0.0801)	(0.0813)	(0.0812)	(0.0995)	(0.101)	(0.100)			
d_Hefei	-0.208***	-0.213***	-0.213***	-0.321***	-0.329***	-0.332***			
	(0.0668)	(0.0679)	(0.0679)	(0.0938)	(0.0959)	(0.0962)			
Ddrink							-0.00489	-0.00511	-0.00395
							(0.0256)	(0.0259)	(0.0260)
Dbirth_rate							-0.138	-0.133	-0.133
							(0.0855)	(0.0845)	(0.0846)
DVeryEarly_disease_d							0.0869	0.0677	0.0734
							(0.199)	(0.195)	(0.196)
Dincome								0.0552	0.0600
								(0.0675)	(0.0686)
Dmarried								0.131*	0.136*
								(0.0779)	(0.0789)
Dhealth								-0.0132	-0.0128
								(0.0550)	(0.0548)
Dwork_over_40h									-0.0431
									(0.0720)
Constant	2.326***	1.907***	1.910***	2.385***	2.169***	2.176***			
	(0.303)	(0.388)	(0.389)	(0.394)	(0.512)	(0.513)			
									
Observations	2,530	2,530	2,530	1,320	1,320	1,320	660	660	660
R-squared	0.034	0.037	0.037	0.055	0.056	0.056	0.005	0.010	0.010
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
