	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale
									
drink	-0.00293	-0.00534	-0.00486	0.000378	-0.000875	0.000104			
	(0.0107)	(0.0107)	(0.0108)	(0.0139)	(0.0139)	(0.0139)			
age	0.257*	0.155	0.148	0.256	0.189	0.172			
	(0.141)	(0.159)	(0.159)	(0.189)	(0.210)	(0.212)			
agesquared	-0.0234	-0.0118	-0.0114	-0.0200	-0.0121	-0.0108			
	(0.0189)	(0.0203)	(0.0203)	(0.0245)	(0.0262)	(0.0263)			
male	0.0933**	0.0920**	0.0931**	0.0889	0.0776	0.0797			
	(0.0440)	(0.0444)	(0.0444)	(0.0601)	(0.0602)	(0.0600)			
birth_rate	0.0394	0.0350	0.0350	0.0325	0.0251	0.0244			
	(0.0334)	(0.0330)	(0.0330)	(0.0421)	(0.0412)	(0.0411)			
VeryEarly_disease_d	-0.117	-0.0989	-0.0992	0.0899	0.110	0.112			
	(0.146)	(0.145)	(0.145)	(0.158)	(0.157)	(0.158)			
income		0.0323	0.0359		0.0411	0.0471			
		(0.0256)	(0.0259)		(0.0344)	(0.0350)			
married		0.0863*	0.0874*		0.0627	0.0668			
		(0.0513)	(0.0514)		(0.0713)	(0.0717)			
health		0.0309	0.0310		0.0499	0.0510			
		(0.0247)	(0.0247)		(0.0344)	(0.0344)			
work_over_40h			-0.0339			-0.0634			
			(0.0386)			(0.0538)			
d_Chengdu	-0.0717	-0.0894	-0.0907	-0.120	-0.137	-0.138*			
	(0.0606)	(0.0612)	(0.0613)	(0.0833)	(0.0832)	(0.0832)			
d_Chongqing	-0.0302	-0.0336	-0.0328	0.0490	0.0513	0.0511			
	(0.0751)	(0.0748)	(0.0749)	(0.103)	(0.102)	(0.103)			
d_Haerbin	0.0804	0.0640	0.0634	0.0139	-0.00940	-0.00942			
	(0.0702)	(0.0709)	(0.0708)	(0.0874)	(0.0883)	(0.0881)			
d_Hefei	-0.0553	-0.0734	-0.0735	-0.0413	-0.0613	-0.0677			
	(0.0588)	(0.0597)	(0.0597)	(0.0844)	(0.0864)	(0.0870)			
Ddrink							-0.0171	-0.0172	-0.0167
							(0.0229)	(0.0228)	(0.0228)
Dbirth_rate							-0.00376	0.00195	0.00172
							(0.0999)	(0.100)	(0.100)
DVeryEarly_disease_d							0.204	0.183	0.185
							(0.270)	(0.275)	(0.276)
Dincome								0.0266	0.0285
								(0.0488)	(0.0497)
Dmarried								0.0552	0.0571
								(0.0859)	(0.0858)
Dhealth								-0.0538	-0.0536
								(0.0497)	(0.0497)
Dwork_over_40h									-0.0171
									(0.0714)
Constant	2.511***	2.354***	2.357***	2.511***	2.175***	2.193***			
	(0.269)	(0.344)	(0.344)	(0.372)	(0.460)	(0.461)			
									
Observations	2,552	2,552	2,552	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.020	0.020	0.025	0.030	0.031	0.002	0.005	0.006
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
