	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale
									
drink	-0.0140	-0.0181	-0.0187	-0.0130	-0.0141	-0.0154			
	(0.0143)	(0.0142)	(0.0143)	(0.0185)	(0.0183)	(0.0184)			
age	0.517***	0.457**	0.464**	0.610**	0.655**	0.676***			
	(0.169)	(0.183)	(0.183)	(0.242)	(0.260)	(0.261)			
agesquared	-0.0606***	-0.0524**	-0.0529**	-0.0695**	-0.0728**	-0.0744**			
	(0.0226)	(0.0237)	(0.0237)	(0.0319)	(0.0331)	(0.0332)			
male	0.0414	0.0285	0.0272	-0.0707	-0.101	-0.104			
	(0.0538)	(0.0539)	(0.0539)	(0.0752)	(0.0761)	(0.0759)			
birth_rate	0.0520	0.0411	0.0412	0.0502	0.0362	0.0371			
	(0.0403)	(0.0399)	(0.0399)	(0.0545)	(0.0542)	(0.0541)			
VeryEarly_disease_d	0.0198	0.0694	0.0698	-0.0201	0.0305	0.0288			
	(0.187)	(0.190)	(0.190)	(0.282)	(0.285)	(0.284)			
income		0.0597*	0.0555*		0.0750	0.0675			
		(0.0325)	(0.0331)		(0.0462)	(0.0471)			
married		0.0687	0.0673		-0.0210	-0.0261			
		(0.0576)	(0.0577)		(0.0840)	(0.0841)			
health		0.0884***	0.0882***		0.0872**	0.0858**			
		(0.0307)	(0.0306)		(0.0435)	(0.0434)			
work_over_40h			0.0395			0.0791			
			(0.0467)			(0.0682)			
d_Chengdu	0.0829	0.0547	0.0562	0.220**	0.200**	0.202**			
	(0.0685)	(0.0693)	(0.0692)	(0.0897)	(0.0895)	(0.0891)			
d_Chongqing	-0.196**	-0.194**	-0.195**	-0.238*	-0.232*	-0.232*			
	(0.0898)	(0.0885)	(0.0884)	(0.142)	(0.139)	(0.139)			
d_Haerbin	-0.222**	-0.250***	-0.249***	-0.247*	-0.277**	-0.277**			
	(0.0915)	(0.0915)	(0.0916)	(0.128)	(0.128)	(0.128)			
d_Hefei	0.0505	0.0241	0.0242	0.0409	0.0241	0.0320			
	(0.0672)	(0.0686)	(0.0686)	(0.0991)	(0.101)	(0.101)			
Ddrink							-0.0137	-0.0155	-0.0151
							(0.0316)	(0.0313)	(0.0315)
Dbirth_rate							0.169*	0.159*	0.159*
							(0.0933)	(0.0916)	(0.0917)
DVeryEarly_disease_d							0.0457	0.0626	0.0644
							(0.329)	(0.334)	(0.334)
Dincome								0.0534	0.0550
								(0.0722)	(0.0738)
Dmarried								-0.00583	-0.00431
								(0.105)	(0.106)
Dhealth								0.0121	0.0122
								(0.0657)	(0.0658)
Dwork_over_40h									-0.0136
									(0.0937)
Constant	1.704***	1.088***	1.084***	1.557***	0.696	0.673			
	(0.316)	(0.408)	(0.408)	(0.462)	(0.585)	(0.584)			
									
Observations	2,550	2,550	2,550	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.024	0.024	0.031	0.038	0.039	0.005	0.006	0.006
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
