	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	Dangry_4scale	Dangry_4scale	Dangry_4scale
									
edu	0.000159	-0.000654	-0.00113	-0.00160	0.000101	0.000325			
	(0.00586)	(0.00634)	(0.00635)	(0.00847)	(0.00923)	(0.00922)			
age	0.118	0.0918	0.0876	0.205	0.220	0.223			
	(0.128)	(0.142)	(0.143)	(0.189)	(0.208)	(0.209)			
agesquared	-0.0241	-0.0228	-0.0226	-0.0356	-0.0385	-0.0387			
	(0.0176)	(0.0188)	(0.0188)	(0.0258)	(0.0273)	(0.0274)			
male	0.0765**	0.0855**	0.0865**	0.0827	0.0954*	0.0948*			
	(0.0368)	(0.0373)	(0.0373)	(0.0533)	(0.0545)	(0.0545)			
birth_rate	-0.0106	-0.00538	-0.00536	0.0610	0.0718*	0.0719*			
	(0.0299)	(0.0294)	(0.0294)	(0.0410)	(0.0391)	(0.0391)			
VeryEarly_disease_d	0.0773	0.0495	0.0489	-0.226	-0.248	-0.248			
	(0.141)	(0.139)	(0.139)	(0.194)	(0.186)	(0.187)			
income		0.0165	0.0199		-0.00273	-0.00422			
		(0.0248)	(0.0254)		(0.0361)	(0.0368)			
married		-0.0125	-0.0119		-0.0476	-0.0484			
		(0.0432)	(0.0432)		(0.0616)	(0.0614)			
health		-0.0919***	-0.0918***		-0.115***	-0.115***			
		(0.0225)	(0.0225)		(0.0330)	(0.0330)			
work_over_40h			-0.0243			0.0119			
			(0.0335)			(0.0475)			
d_Chengdu	-0.131**	-0.118**	-0.119**	-0.134*	-0.114	-0.114			
	(0.0525)	(0.0531)	(0.0530)	(0.0789)	(0.0789)	(0.0788)			
d_Chongqing	0.122**	0.114*	0.115*	0.153*	0.146*	0.146*			
	(0.0592)	(0.0592)	(0.0591)	(0.0829)	(0.0843)	(0.0844)			
d_Haerbin	0.0904	0.101*	0.101*	0.0743	0.0985	0.0983			
	(0.0591)	(0.0591)	(0.0591)	(0.0819)	(0.0819)	(0.0819)			
d_Hefei	-0.00401	0.0176	0.0174	0.0544	0.0913	0.0926			
	(0.0505)	(0.0506)	(0.0506)	(0.0770)	(0.0771)	(0.0773)			
Dedu							-0.00161	-0.000222	-0.000400
							(0.0155)	(0.0158)	(0.0158)
Dbirth_rate							0.207**	0.210**	0.210**
							(0.104)	(0.104)	(0.104)
DVeryEarly_disease_d							-0.363	-0.384*	-0.388*
							(0.222)	(0.209)	(0.211)
Dincome								0.0228	0.0199
								(0.0517)	(0.0524)
Dmarried								-0.0314	-0.0341
								(0.0752)	(0.0758)
Dhealth								-0.122***	-0.122***
								(0.0451)	(0.0452)
Dwork_over_40h									0.0256
									(0.0624)
Constant	2.216***	2.519***	2.522***	1.904***	2.311***	2.307***			
	(0.247)	(0.295)	(0.295)	(0.365)	(0.439)	(0.440)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.026	0.026	0.027	0.041	0.041	0.015	0.029	0.029
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
