	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale
									
edu	0.0131*	0.0146*	0.0154**	-0.00415	-0.00386	-0.00311			
	(0.00722)	(0.00766)	(0.00771)	(0.0102)	(0.0110)	(0.0110)			
age	0.323**	0.275	0.281*	0.422**	0.243	0.253			
	(0.149)	(0.169)	(0.170)	(0.205)	(0.231)	(0.232)			
agesquared	-0.0233	-0.0174	-0.0177	-0.0382	-0.0190	-0.0197			
	(0.0198)	(0.0216)	(0.0217)	(0.0267)	(0.0290)	(0.0290)			
male	0.0664	0.0667	0.0653	0.00535	0.0143	0.0123			
	(0.0437)	(0.0443)	(0.0444)	(0.0610)	(0.0622)	(0.0624)			
birth_rate	0.0538	0.0519	0.0519	0.0238	0.0227	0.0231			
	(0.0350)	(0.0350)	(0.0351)	(0.0436)	(0.0440)	(0.0441)			
VeryEarly_disease_d	-0.0735	-0.0633	-0.0624	0.0843	0.0720	0.0719			
	(0.146)	(0.145)	(0.145)	(0.155)	(0.155)	(0.153)			
income		-0.0193	-0.0244		-0.0120	-0.0170			
		(0.0307)	(0.0313)		(0.0447)	(0.0457)			
married		0.0581	0.0571		0.154*	0.151*			
		(0.0568)	(0.0569)		(0.0785)	(0.0786)			
health		0.0514**	0.0512**		0.0300	0.0293			
		(0.0260)	(0.0260)		(0.0364)	(0.0363)			
work_over_40h			0.0367			0.0396			
			(0.0410)			(0.0573)			
d_Chengdu	-0.0379	-0.0483	-0.0468	-0.115	-0.128	-0.127			
	(0.0629)	(0.0633)	(0.0635)	(0.0872)	(0.0873)	(0.0876)			
d_Chongqing	-0.0559	-0.0542	-0.0548	-0.0829	-0.0832	-0.0830			
	(0.0782)	(0.0786)	(0.0784)	(0.120)	(0.120)	(0.119)			
d_Haerbin	0.0650	0.0571	0.0569	-0.0316	-0.0490	-0.0498			
	(0.0800)	(0.0800)	(0.0801)	(0.102)	(0.102)	(0.102)			
d_Hefei	-0.101*	-0.121**	-0.121**	-0.248***	-0.277***	-0.273***			
	(0.0603)	(0.0613)	(0.0612)	(0.0889)	(0.0909)	(0.0915)			
Dedu							-0.0245	-0.0253	-0.0256
							(0.0194)	(0.0194)	(0.0194)
Dbirth_rate							0.0139	0.0285	0.0289
							(0.102)	(0.104)	(0.103)
DVeryEarly_disease_d							0.193	0.167	0.161
							(0.276)	(0.265)	(0.263)
Dincome								-0.0166	-0.0211
								(0.0634)	(0.0643)
Dmarried								0.141*	0.137*
								(0.0807)	(0.0811)
Dhealth								0.0277	0.0274
								(0.0508)	(0.0509)
Dwork_over_40h									0.0393
									(0.0721)
Constant	1.930***	1.908***	1.904***	2.146***	2.382***	2.370***			
	(0.293)	(0.367)	(0.368)	(0.412)	(0.521)	(0.522)			
									
Observations	2,625	2,625	2,625	1,320	1,320	1,320	660	660	660
R-squared	0.033	0.035	0.035	0.047	0.051	0.051	0.003	0.007	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
