	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale
									
edu	0.000674	0.00150	0.00198	-0.00521	-0.00745	-0.00566			
	(0.00775)	(0.00825)	(0.00832)	(0.0117)	(0.0127)	(0.0128)			
age	0.224	0.259	0.263	0.384	0.449*	0.473*			
	(0.169)	(0.186)	(0.186)	(0.251)	(0.271)	(0.271)			
agesquared	-0.0219	-0.0245	-0.0247	-0.0421	-0.0483	-0.0500			
	(0.0229)	(0.0242)	(0.0242)	(0.0336)	(0.0353)	(0.0352)			
male	0.120**	0.112**	0.111**	0.0972	0.0823	0.0775			
	(0.0479)	(0.0488)	(0.0488)	(0.0704)	(0.0725)	(0.0722)			
birth_rate	0.0197	0.0154	0.0154	0.0333	0.0261	0.0271			
	(0.0407)	(0.0408)	(0.0408)	(0.0572)	(0.0572)	(0.0569)			
VeryEarly_disease_d	-0.0468	-0.0241	-0.0236	-0.145	-0.123	-0.123			
	(0.182)	(0.183)	(0.184)	(0.279)	(0.278)	(0.280)			
income		-0.0161	-0.0195		0.0178	0.00594			
		(0.0340)	(0.0349)		(0.0516)	(0.0530)			
married		-0.000383	-0.00104		-0.0345	-0.0412			
		(0.0557)	(0.0557)		(0.0800)	(0.0804)			
health		0.0765**	0.0764**		0.0606	0.0588			
		(0.0299)	(0.0299)		(0.0439)	(0.0438)			
work_over_40h			0.0244			0.0947			
			(0.0462)			(0.0671)			
d_Chengdu	0.0525	0.0433	0.0443	0.103	0.0932	0.0959			
	(0.0679)	(0.0677)	(0.0678)	(0.0972)	(0.0970)	(0.0969)			
d_Chongqing	-0.193**	-0.186**	-0.186**	-0.232*	-0.228*	-0.227*			
	(0.0754)	(0.0753)	(0.0753)	(0.119)	(0.118)	(0.118)			
d_Haerbin	-0.240***	-0.248***	-0.248***	-0.213*	-0.223*	-0.225*			
	(0.0921)	(0.0919)	(0.0919)	(0.128)	(0.128)	(0.128)			
d_Hefei	-0.0567	-0.0731	-0.0729	-0.0762	-0.0879	-0.0775			
	(0.0623)	(0.0633)	(0.0633)	(0.0939)	(0.0954)	(0.0956)			
Dedu							-0.00531	-0.00552	-0.00452
							(0.0270)	(0.0273)	(0.0272)
Dbirth_rate							0.0946	0.0839	0.0825
							(0.0864)	(0.0851)	(0.0848)
DVeryEarly_disease_d							0.186	0.202	0.222
							(0.408)	(0.406)	(0.404)
Dincome								0.0318	0.0481
								(0.0667)	(0.0666)
Dmarried								-0.0739	-0.0587
								(0.103)	(0.103)
Dhealth								-0.0224	-0.0211
								(0.0628)	(0.0631)
Dwork_over_40h									-0.143
									(0.0887)
Constant	2.044***	1.782***	1.780***	1.787***	1.377**	1.348**			
	(0.324)	(0.393)	(0.393)	(0.483)	(0.578)	(0.575)			
									
Observations	2,624	2,624	2,624	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.020	0.021	0.023	0.025	0.027	0.002	0.003	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
