	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale
									
edu	0.00638	0.00683	0.00613	0.00600	0.00759	0.00758			
	(0.00589)	(0.00617)	(0.00618)	(0.00845)	(0.00883)	(0.00882)			
age	-0.0423	0.107	0.100	0.118	0.294	0.294			
	(0.126)	(0.141)	(0.141)	(0.176)	(0.201)	(0.201)			
agesquared	-0.00899	-0.0266	-0.0264	-0.0310	-0.0512**	-0.0512**			
	(0.0171)	(0.0183)	(0.0183)	(0.0235)	(0.0257)	(0.0257)			
male	0.0869**	0.0961**	0.0975***	0.0933*	0.0988*	0.0988*			
	(0.0372)	(0.0374)	(0.0374)	(0.0528)	(0.0538)	(0.0539)			
birth_rate	-0.00478	0.00391	0.00394	0.0229	0.0353	0.0353			
	(0.0298)	(0.0295)	(0.0295)	(0.0422)	(0.0418)	(0.0418)			
VeryEarly_disease_d	0.145	0.105	0.105	-0.178	-0.191	-0.191			
	(0.149)	(0.144)	(0.143)	(0.205)	(0.199)	(0.199)			
income		-0.000149	0.00480		0.00737	0.00739			
		(0.0249)	(0.0253)		(0.0360)	(0.0364)			
married		-0.157***	-0.156***		-0.188***	-0.188***			
		(0.0460)	(0.0459)		(0.0706)	(0.0707)			
health		-0.130***	-0.130***		-0.149***	-0.149***			
		(0.0224)	(0.0224)		(0.0311)	(0.0311)			
work_over_40h			-0.0357			-0.000185			
			(0.0350)			(0.0505)			
d_Chengdu	-0.0945*	-0.0583	-0.0598	-0.0596	-0.0267	-0.0267			
	(0.0557)	(0.0549)	(0.0549)	(0.0831)	(0.0803)	(0.0804)			
d_Chongqing	0.0990	0.0980	0.0985	0.154	0.146	0.146			
	(0.0657)	(0.0640)	(0.0639)	(0.0997)	(0.0969)	(0.0969)			
d_Haerbin	-0.120*	-0.0914	-0.0911	-0.116	-0.0747	-0.0747			
	(0.0624)	(0.0626)	(0.0627)	(0.0831)	(0.0838)	(0.0838)			
d_Hefei	-0.0910*	-0.0391	-0.0393	-0.0880	-0.0225	-0.0225			
	(0.0515)	(0.0515)	(0.0515)	(0.0779)	(0.0779)	(0.0783)			
Dedu							-0.0316	-0.0282	-0.0282
							(0.0204)	(0.0201)	(0.0202)
Dbirth_rate							0.0347	0.0275	0.0275
							(0.0689)	(0.0707)	(0.0707)
DVeryEarly_disease_d							-0.278	-0.274	-0.274
							(0.290)	(0.278)	(0.278)
Dincome								-0.00767	-0.00785
								(0.0552)	(0.0558)
Dmarried								-0.183**	-0.183**
								(0.0867)	(0.0866)
Dhealth								-0.122**	-0.122***
								(0.0472)	(0.0472)
Dwork_over_40h									0.00162
									(0.0647)
Constant	2.266***	2.522***	2.526***	1.935***	2.158***	2.158***			
	(0.246)	(0.299)	(0.298)	(0.345)	(0.421)	(0.421)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.028	0.048	0.048	0.034	0.060	0.060	0.006	0.025	0.025
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
