	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	hateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale
									
edu	0.0141*	0.00956	0.00916	-0.00616	-0.0118	-0.0125			
	(0.00727)	(0.00768)	(0.00772)	(0.0100)	(0.0108)	(0.0108)			
age	0.248	0.248	0.245	0.301	0.249	0.240			
	(0.155)	(0.175)	(0.175)	(0.199)	(0.230)	(0.232)			
agesquared	-0.0168	-0.0166	-0.0164	-0.0241	-0.0189	-0.0183			
	(0.0204)	(0.0220)	(0.0221)	(0.0255)	(0.0281)	(0.0282)			
male	0.0704	0.0549	0.0556	-0.0266	-0.0420	-0.0402			
	(0.0452)	(0.0460)	(0.0461)	(0.0599)	(0.0605)	(0.0607)			
birth_rate	0.0569	0.0508	0.0509	0.0434	0.0381	0.0377			
	(0.0360)	(0.0358)	(0.0358)	(0.0445)	(0.0443)	(0.0444)			
VeryEarly_disease_d	-0.0731	-0.0496	-0.0501	0.0770	0.0907	0.0908			
	(0.155)	(0.157)	(0.157)	(0.162)	(0.162)	(0.163)			
income		0.0491	0.0518*		0.0568	0.0610			
		(0.0298)	(0.0303)		(0.0430)	(0.0440)			
married		-0.00427	-0.00377		0.0419	0.0443			
		(0.0570)	(0.0570)		(0.0799)	(0.0802)			
health		0.0265	0.0266		0.0158	0.0164			
		(0.0262)	(0.0262)		(0.0370)	(0.0370)			
work_over_40h			-0.0194			-0.0337			
			(0.0425)			(0.0586)			
d_Chengdu	-0.172**	-0.184***	-0.185***	-0.224**	-0.239***	-0.240***			
	(0.0683)	(0.0688)	(0.0690)	(0.0914)	(0.0917)	(0.0918)			
d_Chongqing	-0.0449	-0.0459	-0.0456	-0.0998	-0.101	-0.101			
	(0.0754)	(0.0758)	(0.0759)	(0.116)	(0.116)	(0.117)			
d_Haerbin	0.0258	0.0151	0.0152	-0.0361	-0.0500	-0.0494			
	(0.0801)	(0.0808)	(0.0807)	(0.0996)	(0.100)	(0.1000)			
d_Hefei	-0.212***	-0.218***	-0.219***	-0.325***	-0.338***	-0.342***			
	(0.0660)	(0.0670)	(0.0670)	(0.0947)	(0.0966)	(0.0971)			
Dedu							-0.00171	-0.00421	-0.00391
							(0.0198)	(0.0199)	(0.0199)
Dbirth_rate							-0.139	-0.133	-0.133
							(0.0852)	(0.0843)	(0.0844)
DVeryEarly_disease_d							0.0857	0.0656	0.0718
							(0.199)	(0.194)	(0.196)
Dincome								0.0553	0.0603
								(0.0680)	(0.0691)
Dmarried								0.132*	0.137*
								(0.0774)	(0.0782)
Dhealth								-0.0130	-0.0126
								(0.0552)	(0.0550)
Dwork_over_40h									-0.0438
									(0.0718)
Constant	2.177***	1.832***	1.835***	2.455***	2.204***	2.215***			
	(0.313)	(0.383)	(0.384)	(0.413)	(0.512)	(0.513)			
									
Observations	2,600	2,600	2,600	1,320	1,320	1,320	660	660	660
R-squared	0.035	0.037	0.037	0.055	0.057	0.058	0.004	0.010	0.010
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
