	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	hateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale
									
edu	-0.00200	-0.00257	-0.00106	-0.00914	-0.0108	-0.00752			
	(0.00787)	(0.00834)	(0.00837)	(0.0116)	(0.0127)	(0.0127)			
age	0.312*	0.330*	0.344*	0.544**	0.538*	0.583**			
	(0.179)	(0.196)	(0.197)	(0.260)	(0.286)	(0.287)			
agesquared	-0.0340	-0.0352	-0.0358	-0.0609*	-0.0603	-0.0634*			
	(0.0240)	(0.0255)	(0.0255)	(0.0348)	(0.0368)	(0.0368)			
male	0.0996**	0.0910*	0.0879*	0.0419	0.0366	0.0276			
	(0.0502)	(0.0515)	(0.0515)	(0.0723)	(0.0753)	(0.0750)			
birth_rate	0.0567	0.0524	0.0524	0.0575	0.0557	0.0576			
	(0.0411)	(0.0412)	(0.0411)	(0.0542)	(0.0546)	(0.0540)			
VeryEarly_disease_d	-0.0920	-0.0716	-0.0697	-0.202	-0.197	-0.197			
	(0.198)	(0.199)	(0.201)	(0.312)	(0.313)	(0.316)			
income		0.00235	-0.00805		0.0170	-0.00505			
		(0.0337)	(0.0342)		(0.0500)	(0.0506)			
married		0.00161	-0.000457		0.00540	-0.00693			
		(0.0590)	(0.0592)		(0.0897)	(0.0908)			
health		0.0548*	0.0545*		0.00717	0.00396			
		(0.0311)	(0.0311)		(0.0453)	(0.0450)			
work_over_40h			0.0746			0.175***			
			(0.0465)			(0.0677)			
d_Chengdu	-0.0916	-0.101	-0.0976	0.0337	0.0293	0.0342			
	(0.0718)	(0.0721)	(0.0724)	(0.105)	(0.106)	(0.106)			
d_Chongqing	-0.220***	-0.215***	-0.217***	-0.259*	-0.259*	-0.258*			
	(0.0827)	(0.0829)	(0.0827)	(0.132)	(0.132)	(0.132)			
d_Haerbin	-0.143	-0.151	-0.152	-0.147	-0.151	-0.154			
	(0.0957)	(0.0959)	(0.0960)	(0.128)	(0.129)	(0.129)			
d_Hefei	-0.177***	-0.189***	-0.188***	-0.241**	-0.244**	-0.225**			
	(0.0683)	(0.0691)	(0.0689)	(0.0995)	(0.101)	(0.101)			
Dedu							-0.0145	-0.0138	-0.0138
							(0.0273)	(0.0275)	(0.0275)
Dbirth_rate							0.129	0.129	0.129
							(0.0910)	(0.0906)	(0.0906)
DVeryEarly_disease_d							-0.0209	-0.0333	-0.0333
							(0.331)	(0.323)	(0.321)
Dincome								0.0253	0.0254
								(0.0727)	(0.0736)
Dmarried								-0.0238	-0.0238
								(0.104)	(0.104)
Dhealth								-0.0838	-0.0838
								(0.0616)	(0.0616)
Dwork_over_40h									-0.000415
									(0.0875)
Constant	1.959***	1.712***	1.703***	1.569***	1.470**	1.416**			
	(0.345)	(0.428)	(0.428)	(0.503)	(0.613)	(0.614)			
									
Observations	2,609	2,609	2,609	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.020	0.021	0.031	0.031	0.037	0.003	0.007	0.007
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
