	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	life_short	life_short	life_short	life_short	life_short	life_short	Dlife_short	Dlife_short	Dlife_short
									
edu	0.0128	0.0103	0.00941	0.0318	0.0289	0.0309			
	(0.0147)	(0.0153)	(0.0153)	(0.0210)	(0.0223)	(0.0223)			
age	0.616**	0.673**	0.665**	0.646	0.685	0.711			
	(0.296)	(0.324)	(0.325)	(0.445)	(0.481)	(0.483)			
agesquared	-0.0334	-0.0428	-0.0424	-0.0263	-0.0350	-0.0368			
	(0.0396)	(0.0419)	(0.0419)	(0.0586)	(0.0613)	(0.0615)			
male	-0.203**	-0.188**	-0.187**	-0.208	-0.194	-0.199			
	(0.0898)	(0.0906)	(0.0906)	(0.132)	(0.132)	(0.132)			
birth_rate	-0.0172	-0.00523	-0.00521	0.0526	0.0785	0.0796			
	(0.0638)	(0.0641)	(0.0641)	(0.0920)	(0.0925)	(0.0927)			
VeryEarly_disease_d	-0.602	-0.665*	-0.666*	-1.088**	-1.133**	-1.133**			
	(0.386)	(0.382)	(0.382)	(0.513)	(0.492)	(0.493)			
income		0.0429	0.0492		0.0767	0.0637			
		(0.0624)	(0.0634)		(0.0897)	(0.0912)			
married		-0.124	-0.123		-0.145	-0.152			
		(0.102)	(0.102)		(0.150)	(0.150)			
health		-0.222***	-0.221***		-0.342***	-0.344***			
		(0.0530)	(0.0530)		(0.0764)	(0.0763)			
work_over_40h			-0.0450			0.103			
			(0.0835)			(0.125)			
d_Chengdu	0.357**	0.398***	0.396***	0.454**	0.499**	0.502**			
	(0.144)	(0.144)	(0.143)	(0.222)	(0.222)	(0.222)			
d_Chongqing	0.227	0.215	0.215	0.0622	0.0372	0.0380			
	(0.151)	(0.151)	(0.151)	(0.225)	(0.221)	(0.221)			
d_Haerbin	0.0519	0.0838	0.0841	0.286	0.347*	0.346*			
	(0.159)	(0.159)	(0.159)	(0.204)	(0.204)	(0.203)			
d_Hefei	-0.437***	-0.371***	-0.371***	-0.220	-0.114	-0.102			
	(0.116)	(0.116)	(0.116)	(0.186)	(0.183)	(0.184)			
Dedu							-0.0910**	-0.0912**	-0.0925**
							(0.0442)	(0.0446)	(0.0446)
Dbirth_rate							0.161	0.115	0.117
							(0.163)	(0.173)	(0.173)
DVeryEarly_disease_d							-0.774	-0.722	-0.748
							(0.838)	(0.822)	(0.823)
Dincome								0.190*	0.168
								(0.112)	(0.112)
Dmarried								-0.356**	-0.376**
								(0.161)	(0.162)
Dhealth								-0.238**	-0.240**
								(0.117)	(0.117)
Dwork_over_40h									0.188
									(0.147)
Constant	2.962***	3.491***	3.496***	2.313**	3.115***	3.084***			
	(0.585)	(0.717)	(0.717)	(0.899)	(1.087)	(1.090)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.068	0.076	0.076	0.071	0.090	0.091	0.011	0.031	0.034
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
