	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_4scale	scared_4scale	scared_4scale	scared_4scale	scared_4scale	scared_4scale	Dscared_4scale	Dscared_4scale	Dscared_4scale
									
edu	0.000747	0.00120	0.000768	-0.00253	-0.00246	-0.00262			
	(0.00572)	(0.00613)	(0.00614)	(0.00826)	(0.00904)	(0.00905)			
age	-0.212*	-0.176	-0.180	-0.146	-0.0925	-0.0947			
	(0.125)	(0.137)	(0.137)	(0.180)	(0.195)	(0.196)			
agesquared	0.0147	0.00973	0.00991	-0.000162	-0.00685	-0.00670			
	(0.0167)	(0.0175)	(0.0175)	(0.0236)	(0.0248)	(0.0249)			
male	-0.0400	-0.0312	-0.0303	-0.0618	-0.0586	-0.0582			
	(0.0354)	(0.0360)	(0.0360)	(0.0508)	(0.0523)	(0.0524)			
birth_rate	-0.00488	0.000822	0.000836	0.00328	0.00985	0.00976			
	(0.0285)	(0.0283)	(0.0283)	(0.0402)	(0.0399)	(0.0399)			
VeryEarly_disease_d	0.217*	0.190	0.189	-0.0185	-0.0275	-0.0275			
	(0.125)	(0.125)	(0.125)	(0.180)	(0.175)	(0.176)			
income		-0.000251	0.00281		0.0115	0.0126			
		(0.0254)	(0.0258)		(0.0369)	(0.0372)			
married		-0.0537	-0.0531		-0.0699	-0.0693			
		(0.0438)	(0.0438)		(0.0612)	(0.0614)			
health		-0.0824***	-0.0823***		-0.0827***	-0.0826***			
		(0.0219)	(0.0219)		(0.0301)	(0.0302)			
work_over_40h			-0.0221			-0.00876			
			(0.0334)			(0.0489)			
d_Chengdu	-0.103*	-0.0849	-0.0859	-0.189**	-0.174**	-0.174**			
	(0.0541)	(0.0538)	(0.0538)	(0.0775)	(0.0759)	(0.0759)			
d_Chongqing	-0.0769	-0.0801	-0.0797	-0.121	-0.126	-0.126			
	(0.0626)	(0.0623)	(0.0622)	(0.0977)	(0.0972)	(0.0972)			
d_Haerbin	-0.187***	-0.172***	-0.172***	-0.252***	-0.233***	-0.233***			
	(0.0539)	(0.0540)	(0.0541)	(0.0705)	(0.0711)	(0.0712)			
d_Hefei	-0.0610	-0.0350	-0.0351	-0.138*	-0.107	-0.108			
	(0.0509)	(0.0511)	(0.0510)	(0.0767)	(0.0770)	(0.0769)			
Dedu							-0.0402**	-0.0391**	-0.0404**
							(0.0185)	(0.0185)	(0.0184)
Dbirth_rate							0.102	0.102	0.104
							(0.0644)	(0.0643)	(0.0631)
DVeryEarly_disease_d							-0.156	-0.160	-0.187
							(0.279)	(0.277)	(0.259)
Dincome								-0.000269	-0.0220
								(0.0445)	(0.0447)
Dmarried								-0.0483	-0.0685
								(0.0612)	(0.0597)
Dhealth								-0.0532	-0.0549
								(0.0370)	(0.0370)
Dwork_over_40h									0.191***
									(0.0588)
Constant	2.299***	2.554***	2.557***	2.344***	2.502***	2.505***			
	(0.257)	(0.302)	(0.302)	(0.368)	(0.421)	(0.422)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.021	0.028	0.028	0.036	0.044	0.044	0.011	0.015	0.030
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
