	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	Dangry_4scale	Dangry_4scale	Dangry_4scale
									
house_own	-0.0815**	-0.0760*	-0.0766*	-0.0688	-0.0658	-0.0654			
	(0.0402)	(0.0401)	(0.0400)	(0.0590)	(0.0594)	(0.0594)			
age	0.0922	0.0693	0.0650	0.190	0.200	0.202			
	(0.128)	(0.143)	(0.143)	(0.189)	(0.208)	(0.208)			
agesquared	-0.0206	-0.0195	-0.0192	-0.0333	-0.0358	-0.0360			
	(0.0176)	(0.0188)	(0.0188)	(0.0257)	(0.0274)	(0.0274)			
male	0.0765**	0.0855**	0.0867**	0.0849	0.0964*	0.0958*			
	(0.0369)	(0.0373)	(0.0373)	(0.0535)	(0.0545)	(0.0544)			
birth_rate	-0.0131	-0.00803	-0.00801	0.0574	0.0681*	0.0683*			
	(0.0298)	(0.0293)	(0.0293)	(0.0408)	(0.0391)	(0.0391)			
VeryEarly_disease_d	0.0794	0.0536	0.0533	-0.210	-0.234	-0.235			
	(0.140)	(0.139)	(0.138)	(0.193)	(0.186)	(0.187)			
income		0.0180	0.0207		0.00184	0.000868			
		(0.0229)	(0.0233)		(0.0331)	(0.0338)			
married		-0.0128	-0.0119		-0.0425	-0.0432			
		(0.0436)	(0.0436)		(0.0616)	(0.0614)			
health		-0.0900***	-0.0898***		-0.115***	-0.116***			
		(0.0225)	(0.0225)		(0.0330)	(0.0330)			
work_over_40h			-0.0238			0.00981			
			(0.0336)			(0.0477)			
d_Chengdu	-0.125**	-0.113**	-0.113**	-0.126	-0.108	-0.107			
	(0.0527)	(0.0532)	(0.0531)	(0.0790)	(0.0792)	(0.0792)			
d_Chongqing	0.126**	0.119**	0.119**	0.158*	0.149*	0.149*			
	(0.0592)	(0.0590)	(0.0589)	(0.0829)	(0.0845)	(0.0845)			
d_Haerbin	0.105*	0.113*	0.113*	0.0818	0.106	0.106			
	(0.0593)	(0.0595)	(0.0595)	(0.0815)	(0.0820)	(0.0820)			
d_Hefei	0.0120	0.0326	0.0326	0.0679	0.103	0.103			
	(0.0511)	(0.0512)	(0.0512)	(0.0773)	(0.0776)	(0.0777)			
Dhouse_own							0.170*	0.145	0.145
							(0.0914)	(0.0914)	(0.0915)
Dbirth_rate							0.222**	0.223**	0.224**
							(0.105)	(0.105)	(0.105)
DVeryEarly_disease_d							-0.387*	-0.404**	-0.407**
							(0.217)	(0.205)	(0.207)
Dincome								0.0175	0.0145
								(0.0511)	(0.0518)
Dmarried								-0.0347	-0.0374
								(0.0755)	(0.0760)
Dhealth								-0.114**	-0.114**
								(0.0452)	(0.0453)
Dwork_over_40h									0.0254
									(0.0617)
Constant	2.324***	2.591***	2.592***	1.965***	2.373***	2.370***			
	(0.237)	(0.295)	(0.295)	(0.344)	(0.438)	(0.438)			
									
Observations	2,624	2,624	2,624	1,320	1,320	1,320	660	660	660
R-squared	0.019	0.027	0.027	0.029	0.042	0.042	0.022	0.034	0.034
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
