	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale
									
house_own	0.0245	0.0165	0.0171	-0.0243	-0.0300	-0.0286			
	(0.0473)	(0.0472)	(0.0472)	(0.0640)	(0.0646)	(0.0645)			
age	0.329**	0.272	0.277	0.413**	0.232	0.243			
	(0.150)	(0.171)	(0.171)	(0.206)	(0.230)	(0.231)			
agesquared	-0.0257	-0.0189	-0.0191	-0.0366	-0.0171	-0.0180			
	(0.0200)	(0.0218)	(0.0218)	(0.0268)	(0.0289)	(0.0289)			
male	0.0645	0.0598	0.0586	0.00653	0.0168	0.0143			
	(0.0438)	(0.0444)	(0.0445)	(0.0611)	(0.0623)	(0.0624)			
birth_rate	0.0538	0.0498	0.0498	0.0224	0.0213	0.0218			
	(0.0352)	(0.0352)	(0.0352)	(0.0436)	(0.0439)	(0.0440)			
VeryEarly_disease_d	-0.0860	-0.0686	-0.0683	0.0941	0.0809	0.0800			
	(0.146)	(0.146)	(0.146)	(0.156)	(0.156)	(0.154)			
income		0.00289	0.000331		-0.0159	-0.0199			
		(0.0293)	(0.0297)		(0.0420)	(0.0427)			
married		0.0576	0.0567		0.156**	0.153*			
		(0.0570)	(0.0570)		(0.0783)	(0.0784)			
health		0.0513*	0.0512*		0.0299	0.0292			
		(0.0262)	(0.0262)		(0.0364)	(0.0364)			
work_over_40h			0.0231			0.0408			
			(0.0408)			(0.0567)			
d_Chengdu	-0.0468	-0.0602	-0.0595	-0.110	-0.122	-0.122			
	(0.0634)	(0.0638)	(0.0639)	(0.0879)	(0.0878)	(0.0881)			
d_Chongqing	-0.0632	-0.0623	-0.0629	-0.0807	-0.0808	-0.0808			
	(0.0788)	(0.0791)	(0.0790)	(0.120)	(0.119)	(0.119)			
d_Haerbin	0.0706	0.0594	0.0596	-0.0323	-0.0481	-0.0485			
	(0.0799)	(0.0801)	(0.0802)	(0.101)	(0.102)	(0.102)			
d_Hefei	-0.113*	-0.131**	-0.131**	-0.240***	-0.269***	-0.266***			
	(0.0611)	(0.0622)	(0.0622)	(0.0891)	(0.0912)	(0.0916)			
Dhouse_own							-0.0730	-0.0692	-0.0693
							(0.0903)	(0.0926)	(0.0927)
Dbirth_rate							0.00165	0.0173	0.0176
							(0.101)	(0.104)	(0.103)
DVeryEarly_disease_d							0.210	0.181	0.176
							(0.270)	(0.259)	(0.258)
Dincome								-0.0195	-0.0238
								(0.0638)	(0.0648)
Dmarried								0.139*	0.135*
								(0.0807)	(0.0811)
Dhealth								0.0216	0.0213
								(0.0508)	(0.0509)
Dwork_over_40h									0.0373
									(0.0721)
Constant	2.075***	1.958***	1.956***	2.126***	2.399***	2.387***			
	(0.285)	(0.369)	(0.370)	(0.394)	(0.517)	(0.518)			
									
Observations	2,614	2,614	2,614	1,320	1,320	1,320	660	660	660
R-squared	0.031	0.033	0.033	0.047	0.051	0.051	0.002	0.006	0.006
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
