	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	Dhappiness_4scale	Dhappiness_4scale	Dhappiness_4scale
									
house_own	0.0754**	0.0391	0.0380	0.0647	0.0358	0.0334			
	(0.0367)	(0.0362)	(0.0361)	(0.0522)	(0.0518)	(0.0516)			
age	-0.0974	-0.289**	-0.298**	-0.180	-0.269	-0.287*			
	(0.116)	(0.127)	(0.127)	(0.155)	(0.173)	(0.174)			
agesquared	0.00748	0.0305*	0.0310*	0.0210	0.0324	0.0339			
	(0.0158)	(0.0166)	(0.0166)	(0.0209)	(0.0223)	(0.0224)			
male	-0.107***	-0.137***	-0.135***	-0.1000**	-0.141***	-0.137***			
	(0.0327)	(0.0328)	(0.0328)	(0.0455)	(0.0460)	(0.0459)			
birth_rate	0.000586	-0.0175	-0.0174	0.0401	0.0191	0.0183			
	(0.0271)	(0.0265)	(0.0264)	(0.0354)	(0.0329)	(0.0329)			
VeryEarly_disease_d	0.0641	0.143	0.143	0.150	0.219	0.221			
	(0.0994)	(0.0932)	(0.0935)	(0.141)	(0.142)	(0.142)			
income		0.118***	0.123***		0.120***	0.126***			
		(0.0211)	(0.0215)		(0.0286)	(0.0291)			
married		0.149***	0.151***		0.0817	0.0864			
		(0.0420)	(0.0420)		(0.0609)	(0.0608)			
health		0.108***	0.108***		0.114***	0.115***			
		(0.0201)	(0.0201)		(0.0272)	(0.0273)			
work_over_40h			-0.0459			-0.0675			
			(0.0308)			(0.0420)			
d_Chengdu	-0.000835	-0.0479	-0.0494	0.00667	-0.0266	-0.0274			
	(0.0502)	(0.0489)	(0.0491)	(0.0711)	(0.0689)	(0.0693)			
d_Chongqing	0.00615	0.00462	0.00581	-0.0543	-0.0468	-0.0469			
	(0.0575)	(0.0567)	(0.0569)	(0.0910)	(0.0866)	(0.0866)			
d_Haerbin	0.148***	0.0952*	0.0948*	0.173***	0.123*	0.123*			
	(0.0483)	(0.0488)	(0.0488)	(0.0622)	(0.0635)	(0.0633)			
d_Hefei	-0.0367	-0.0737	-0.0736	0.00104	-0.0311	-0.0372			
	(0.0492)	(0.0486)	(0.0487)	(0.0707)	(0.0711)	(0.0716)			
Dhouse_own							0.142*	0.160**	0.160**
							(0.0790)	(0.0791)	(0.0790)
Dbirth_rate							0.0250	0.00896	0.00847
							(0.0684)	(0.0648)	(0.0645)
DVeryEarly_disease_d							-0.0225	0.0151	0.0232
							(0.226)	(0.235)	(0.235)
Dincome								0.0867*	0.0935*
								(0.0483)	(0.0482)
Dmarried								0.0922	0.0984
								(0.0693)	(0.0700)
Dhealth								0.145***	0.146***
								(0.0375)	(0.0375)
Dwork_over_40h									-0.0582
									(0.0559)
Constant	3.722***	2.921***	2.924***	3.782***	2.782***	2.801***			
	(0.214)	(0.275)	(0.275)	(0.299)	(0.384)	(0.385)			
									
Observations	2,624	2,624	2,624	1,320	1,320	1,320	660	660	660
R-squared	0.016	0.052	0.053	0.019	0.056	0.058	0.006	0.036	0.038
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
