	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale
									
house_own	0.0622	0.0495	0.0486	0.0415	0.0301	0.0280			
	(0.0421)	(0.0417)	(0.0417)	(0.0573)	(0.0575)	(0.0573)			
age	0.277**	0.176	0.169	0.264	0.198	0.181			
	(0.139)	(0.156)	(0.156)	(0.188)	(0.209)	(0.211)			
agesquared	-0.0266	-0.0151	-0.0146	-0.0212	-0.0133	-0.0119			
	(0.0186)	(0.0201)	(0.0201)	(0.0245)	(0.0261)	(0.0262)			
male	0.0956**	0.0891**	0.0909**	0.0884	0.0755	0.0794			
	(0.0400)	(0.0405)	(0.0405)	(0.0542)	(0.0544)	(0.0543)			
birth_rate	0.0411	0.0357	0.0357	0.0346	0.0267	0.0260			
	(0.0329)	(0.0325)	(0.0324)	(0.0418)	(0.0410)	(0.0409)			
VeryEarly_disease_d	-0.119	-0.0966	-0.0971	0.0814	0.104	0.106			
	(0.145)	(0.145)	(0.145)	(0.158)	(0.157)	(0.159)			
income		0.0335	0.0373		0.0390	0.0452			
		(0.0254)	(0.0258)		(0.0346)	(0.0352)			
married		0.0796	0.0808		0.0602	0.0646			
		(0.0508)	(0.0508)		(0.0715)	(0.0718)			
health		0.0331	0.0333		0.0500	0.0511			
		(0.0244)	(0.0244)		(0.0344)	(0.0344)			
work_over_40h			-0.0337			-0.0626			
			(0.0379)			(0.0534)			
d_Chengdu	-0.0817	-0.0991	-0.100*	-0.125	-0.140*	-0.141*			
	(0.0598)	(0.0602)	(0.0603)	(0.0839)	(0.0837)	(0.0836)			
d_Chongqing	-0.0353	-0.0378	-0.0369	0.0468	0.0497	0.0496			
	(0.0733)	(0.0731)	(0.0732)	(0.102)	(0.102)	(0.102)			
d_Haerbin	0.0783	0.0604	0.0602	0.00865	-0.0131	-0.0124			
	(0.0701)	(0.0707)	(0.0707)	(0.0877)	(0.0884)	(0.0881)			
d_Hefei	-0.0629	-0.0791	-0.0790	-0.0487	-0.0668	-0.0724			
	(0.0584)	(0.0591)	(0.0591)	(0.0851)	(0.0871)	(0.0876)			
Dhouse_own							0.0661	0.0519	0.0519
							(0.0813)	(0.0805)	(0.0805)
Dbirth_rate							-0.00134	0.00378	0.00360
							(0.0997)	(0.100)	(0.100)
DVeryEarly_disease_d							0.191	0.172	0.175
							(0.271)	(0.275)	(0.276)
Dincome								0.0218	0.0243
								(0.0494)	(0.0501)
Dmarried								0.0573	0.0596
								(0.0850)	(0.0849)
Dhealth								-0.0512	-0.0509
								(0.0500)	(0.0499)
Dwork_over_40h									-0.0218
									(0.0713)
Constant	2.436***	2.276***	2.278***	2.462***	2.148***	2.166***			
	(0.266)	(0.337)	(0.336)	(0.369)	(0.455)	(0.456)			
									
Observations	2,611	2,611	2,611	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.020	0.021	0.026	0.030	0.031	0.002	0.005	0.005
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
