	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	Dscared_control_4scale	Dscared_control_4scale	Dscared_control_4scale
									
house_own	0.0827*	0.0816*	0.0789	0.0668	0.0657	0.0627			
	(0.0491)	(0.0492)	(0.0491)	(0.0658)	(0.0665)	(0.0663)			
age	0.248	0.298	0.279	0.296	0.321	0.297			
	(0.165)	(0.182)	(0.182)	(0.229)	(0.251)	(0.253)			
agesquared	-0.0214	-0.0262	-0.0249	-0.0262	-0.0285	-0.0266			
	(0.0220)	(0.0234)	(0.0234)	(0.0297)	(0.0316)	(0.0317)			
male	0.167***	0.159***	0.164***	0.102	0.0953	0.101			
	(0.0482)	(0.0485)	(0.0484)	(0.0654)	(0.0663)	(0.0662)			
birth_rate	0.0799**	0.0773**	0.0773**	0.0411	0.0378	0.0368			
	(0.0376)	(0.0376)	(0.0374)	(0.0480)	(0.0476)	(0.0474)			
VeryEarly_disease_d	-0.240	-0.226	-0.227	-0.122	-0.111	-0.109			
	(0.193)	(0.195)	(0.194)	(0.205)	(0.202)	(0.205)			
income		0.00852	0.0195		0.00803	0.0166			
		(0.0291)	(0.0295)		(0.0406)	(0.0410)			
married		-0.0344	-0.0307		-0.0133	-0.00722			
		(0.0570)	(0.0569)		(0.0793)	(0.0797)			
health		0.0242	0.0251		0.0278	0.0293			
		(0.0273)	(0.0274)		(0.0388)	(0.0388)			
work_over_40h			-0.0983**			-0.0867			
			(0.0435)			(0.0604)			
d_Chengdu	-0.220***	-0.222***	-0.225***	-0.213**	-0.217**	-0.218**			
	(0.0745)	(0.0746)	(0.0743)	(0.100)	(0.101)	(0.100)			
d_Chongqing	0.0279	0.0316	0.0345	0.00125	0.00359	0.00350			
	(0.0798)	(0.0801)	(0.0806)	(0.118)	(0.118)	(0.119)			
d_Haerbin	0.188**	0.185**	0.185**	0.0850	0.0796	0.0806			
	(0.0760)	(0.0771)	(0.0767)	(0.0933)	(0.0944)	(0.0943)			
d_Hefei	-0.163**	-0.162**	-0.162**	-0.216**	-0.220**	-0.228**			
	(0.0669)	(0.0683)	(0.0681)	(0.101)	(0.104)	(0.104)			
Dhouse_own							-0.0338	-0.0479	-0.0479
							(0.0922)	(0.0925)	(0.0925)
Dbirth_rate							0.0566	0.0689	0.0689
							(0.0720)	(0.0742)	(0.0743)
DVeryEarly_disease_d							-0.203	-0.234	-0.234
							(0.237)	(0.244)	(0.245)
Dincome								-0.0314	-0.0307
								(0.0531)	(0.0547)
Dmarried								0.0112	0.0119
								(0.0849)	(0.0856)
Dhealth								-0.0850*	-0.0849*
								(0.0509)	(0.0510)
Dwork_over_40h									-0.00625
									(0.0651)
Constant	2.223***	1.998***	2.005***	2.303***	2.110***	2.135***			
	(0.311)	(0.389)	(0.388)	(0.443)	(0.546)	(0.546)			
									
Observations	2,588	2,588	2,588	1,320	1,320	1,320	660	660	660
R-squared	0.035	0.035	0.037	0.033	0.034	0.036	0.002	0.008	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
