	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	Dangry_4scale	Dangry_4scale	Dangry_4scale
									
smoke	0.0370***	0.0375***	0.0377***	0.0639***	0.0632***	0.0631***			
	(0.0140)	(0.0140)	(0.0140)	(0.0196)	(0.0197)	(0.0197)			
age	0.0726	0.0545	0.0502	0.165	0.189	0.191			
	(0.130)	(0.144)	(0.144)	(0.188)	(0.207)	(0.208)			
agesquared	-0.0191	-0.0185	-0.0182	-0.0317	-0.0356	-0.0358			
	(0.0178)	(0.0189)	(0.0189)	(0.0256)	(0.0271)	(0.0272)			
male	0.0126	0.0211	0.0221	-0.0300	-0.0169	-0.0171			
	(0.0424)	(0.0426)	(0.0426)	(0.0598)	(0.0609)	(0.0609)			
birth_rate	-0.0117	-0.00605	-0.00606	0.0558	0.0665*	0.0665*			
	(0.0299)	(0.0294)	(0.0294)	(0.0405)	(0.0387)	(0.0387)			
VeryEarly_disease_d	0.0796	0.0518	0.0515	-0.209	-0.233	-0.233			
	(0.140)	(0.139)	(0.138)	(0.193)	(0.186)	(0.186)			
income		0.0137	0.0165		-0.00191	-0.00256			
		(0.0230)	(0.0233)		(0.0331)	(0.0337)			
married		-0.0190	-0.0183		-0.0525	-0.0530			
		(0.0433)	(0.0433)		(0.0618)	(0.0616)			
health		-0.0926***	-0.0925***		-0.114***	-0.114***			
		(0.0225)	(0.0225)		(0.0329)	(0.0329)			
work_over_40h			-0.0253			0.00675			
			(0.0333)			(0.0472)			
d_Chengdu	-0.134**	-0.119**	-0.120**	-0.134*	-0.114	-0.114			
	(0.0520)	(0.0525)	(0.0524)	(0.0773)	(0.0771)	(0.0771)			
d_Chongqing	0.114*	0.107*	0.108*	0.150*	0.143*	0.143*			
	(0.0594)	(0.0592)	(0.0592)	(0.0834)	(0.0848)	(0.0849)			
d_Haerbin	0.0927	0.103*	0.103*	0.0819	0.108	0.108			
	(0.0591)	(0.0592)	(0.0592)	(0.0818)	(0.0824)	(0.0825)			
d_Hefei	-0.000982	0.0227	0.0228	0.0595	0.0955	0.0961			
	(0.0505)	(0.0508)	(0.0508)	(0.0757)	(0.0759)	(0.0761)			
Dsmoke							0.0600*	0.0552*	0.0553*
							(0.0308)	(0.0304)	(0.0305)
Dbirth_rate							0.212**	0.216**	0.216**
							(0.103)	(0.104)	(0.104)
DVeryEarly_disease_d							-0.367	-0.390*	-0.394*
							(0.225)	(0.213)	(0.215)
Dincome								0.0212	0.0182
								(0.0510)	(0.0517)
Dmarried								-0.0234	-0.0262
								(0.0745)	(0.0750)
Dhealth								-0.119***	-0.119***
								(0.0447)	(0.0448)
Dwork_over_40h									0.0265
									(0.0625)
Constant	2.274***	2.574***	2.574***	1.921***	2.326***	2.325***			
	(0.236)	(0.294)	(0.294)	(0.342)	(0.434)	(0.434)			
									
Observations	2,629	2,629	2,629	1,320	1,320	1,320	660	660	660
R-squared	0.020	0.029	0.029	0.036	0.049	0.049	0.021	0.034	0.034
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
