	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale
									
smoke	-0.0105	-0.0117	-0.0119	-0.0203	-0.0211	-0.0216			
	(0.0174)	(0.0173)	(0.0173)	(0.0244)	(0.0243)	(0.0242)			
age	0.334**	0.280	0.285*	0.430**	0.252	0.263			
	(0.152)	(0.172)	(0.172)	(0.207)	(0.231)	(0.232)			
agesquared	-0.0259	-0.0194	-0.0197	-0.0384	-0.0193	-0.0202			
	(0.0201)	(0.0218)	(0.0219)	(0.0268)	(0.0289)	(0.0290)			
male	0.0809	0.0789	0.0778	0.0416	0.0538	0.0521			
	(0.0522)	(0.0527)	(0.0528)	(0.0718)	(0.0732)	(0.0733)			
birth_rate	0.0539	0.0503	0.0503	0.0252	0.0247	0.0252			
	(0.0350)	(0.0350)	(0.0351)	(0.0435)	(0.0439)	(0.0440)			
VeryEarly_disease_d	-0.0874	-0.0714	-0.0710	0.0845	0.0691	0.0684			
	(0.146)	(0.146)	(0.146)	(0.155)	(0.155)	(0.153)			
income		0.00186	-0.00136		-0.0181	-0.0223			
		(0.0290)	(0.0294)		(0.0416)	(0.0423)			
married		0.0592	0.0583		0.155**	0.152*			
		(0.0569)	(0.0569)		(0.0786)	(0.0787)			
health		0.0505*	0.0503*		0.0296	0.0288			
		(0.0261)	(0.0261)		(0.0363)	(0.0363)			
work_over_40h			0.0292			0.0433			
			(0.0408)			(0.0567)			
d_Chengdu	-0.0392	-0.0533	-0.0522	-0.113	-0.125	-0.125			
	(0.0628)	(0.0633)	(0.0635)	(0.0870)	(0.0870)	(0.0872)			
d_Chongqing	-0.0591	-0.0585	-0.0592	-0.0810	-0.0813	-0.0812			
	(0.0790)	(0.0792)	(0.0791)	(0.120)	(0.120)	(0.119)			
d_Haerbin	0.0760	0.0647	0.0650	-0.0384	-0.0543	-0.0547			
	(0.0791)	(0.0794)	(0.0796)	(0.102)	(0.102)	(0.102)			
d_Hefei	-0.110*	-0.131**	-0.131**	-0.246***	-0.276***	-0.272***			
	(0.0603)	(0.0613)	(0.0613)	(0.0881)	(0.0900)	(0.0903)			
Dsmoke							-0.0419	-0.0377	-0.0376
							(0.0331)	(0.0329)	(0.0329)
Dbirth_rate							0.00432	0.0194	0.0198
							(0.104)	(0.106)	(0.105)
DVeryEarly_disease_d							0.202	0.175	0.170
							(0.270)	(0.259)	(0.258)
Dincome								-0.0210	-0.0252
								(0.0628)	(0.0638)
Dmarried								0.132	0.128
								(0.0812)	(0.0816)
Dhealth								0.0234	0.0231
								(0.0504)	(0.0505)
Dwork_over_40h									0.0365
									(0.0721)
Constant	2.089***	1.971***	1.970***	2.087***	2.366***	2.355***			
	(0.282)	(0.369)	(0.369)	(0.392)	(0.519)	(0.520)			
									
Observations	2,619	2,619	2,619	1,320	1,320	1,320	660	660	660
R-squared	0.031	0.034	0.034	0.047	0.051	0.052	0.003	0.007	0.007
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
