	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	life_short	life_short	life_short	life_short	life_short	life_short	Dlife_short	Dlife_short	Dlife_short
									
smoke	-0.0187	-0.0167	-0.0163	0.0230	0.0211	0.0201			
	(0.0350)	(0.0346)	(0.0346)	(0.0510)	(0.0505)	(0.0505)			
age	0.629**	0.671**	0.663**	0.660	0.686	0.709			
	(0.298)	(0.326)	(0.326)	(0.447)	(0.482)	(0.485)			
agesquared	-0.0361	-0.0435	-0.0430	-0.0322	-0.0390	-0.0407			
	(0.0398)	(0.0420)	(0.0420)	(0.0588)	(0.0612)	(0.0615)			
male	-0.177	-0.168	-0.166	-0.252	-0.247	-0.250			
	(0.108)	(0.108)	(0.109)	(0.157)	(0.157)	(0.157)			
birth_rate	-0.0141	-0.00303	-0.00306	0.0522	0.0747	0.0756			
	(0.0646)	(0.0647)	(0.0647)	(0.0928)	(0.0931)	(0.0933)			
VeryEarly_disease_d	-0.618	-0.672*	-0.672*	-1.120**	-1.146**	-1.147**			
	(0.385)	(0.382)	(0.381)	(0.518)	(0.497)	(0.497)			
income		0.0575	0.0626		0.121	0.113			
		(0.0599)	(0.0608)		(0.0844)	(0.0860)			
married		-0.119	-0.117		-0.143	-0.148			
		(0.102)	(0.102)		(0.149)	(0.150)			
health		-0.221***	-0.221***		-0.342***	-0.343***			
		(0.0530)	(0.0530)		(0.0766)	(0.0765)			
work_over_40h			-0.0465			0.0825			
			(0.0837)			(0.125)			
d_Chengdu	0.357**	0.396***	0.394***	0.438**	0.479**	0.480**			
	(0.144)	(0.143)	(0.143)	(0.222)	(0.220)	(0.220)			
d_Chongqing	0.226	0.214	0.215	0.0543	0.0296	0.0299			
	(0.151)	(0.151)	(0.151)	(0.227)	(0.224)	(0.224)			
d_Haerbin	0.0690	0.0934	0.0931	0.320	0.368*	0.367*			
	(0.158)	(0.159)	(0.160)	(0.205)	(0.206)	(0.206)			
d_Hefei	-0.452***	-0.384***	-0.383***	-0.242	-0.133	-0.125			
	(0.116)	(0.116)	(0.116)	(0.186)	(0.182)	(0.183)			
Dsmoke							0.119	0.101	0.102
							(0.0803)	(0.0810)	(0.0808)
Dbirth_rate							0.154	0.109	0.111
							(0.167)	(0.176)	(0.176)
DVeryEarly_disease_d							-0.763	-0.715	-0.741
							(0.851)	(0.832)	(0.832)
Dincome								0.167	0.146
								(0.112)	(0.111)
Dmarried								-0.352**	-0.371**
								(0.165)	(0.165)
Dhealth								-0.240**	-0.242**
								(0.117)	(0.117)
Dwork_over_40h									0.182
									(0.147)
Constant	3.113***	3.540***	3.541***	2.691***	3.204***	3.183***			
	(0.550)	(0.712)	(0.712)	(0.856)	(1.087)	(1.089)			
									
Observations	2,629	2,629	2,629	1,320	1,320	1,320	660	660	660
R-squared	0.068	0.077	0.077	0.070	0.089	0.089	0.008	0.027	0.029
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
