	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale
									
smoke	0.0193	0.0248*	0.0251*	0.0230	0.0235	0.0243			
	(0.0149)	(0.0147)	(0.0146)	(0.0206)	(0.0200)	(0.0199)			
age	0.0541	0.335**	0.328**	0.127	0.459**	0.440**			
	(0.128)	(0.144)	(0.144)	(0.178)	(0.204)	(0.204)			
agesquared	-0.0173	-0.0493***	-0.0489***	-0.0324	-0.0691***	-0.0677***			
	(0.0172)	(0.0185)	(0.0185)	(0.0237)	(0.0258)	(0.0257)			
male	-0.179***	-0.173***	-0.172***	-0.211***	-0.195***	-0.193***			
	(0.0447)	(0.0446)	(0.0445)	(0.0621)	(0.0625)	(0.0622)			
birth_rate	-0.0100	0.00347	0.00345	0.0166	0.0316	0.0308			
	(0.0285)	(0.0278)	(0.0278)	(0.0393)	(0.0378)	(0.0378)			
VeryEarly_disease_d	0.197	0.139	0.138	0.0384	0.0124	0.0136			
	(0.145)	(0.140)	(0.140)	(0.219)	(0.217)	(0.217)			
income		-0.0601**	-0.0557**		-0.0737*	-0.0670*			
		(0.0256)	(0.0261)		(0.0383)	(0.0389)			
married		-0.252***	-0.251***		-0.289***	-0.284***			
		(0.0477)	(0.0478)		(0.0722)	(0.0720)			
health		-0.130***	-0.130***		-0.116***	-0.115***			
		(0.0235)	(0.0235)		(0.0324)	(0.0323)			
work_over_40h			-0.0405			-0.0690			
			(0.0350)			(0.0496)			
d_Chengdu	-0.0242	0.0306	0.0292	-0.0918	-0.0469	-0.0479			
	(0.0561)	(0.0558)	(0.0558)	(0.0831)	(0.0817)	(0.0812)			
d_Chongqing	0.00506	0.00989	0.0109	0.0108	0.00793	0.00769			
	(0.0654)	(0.0637)	(0.0637)	(0.0973)	(0.0949)	(0.0948)			
d_Haerbin	-0.0936	-0.0435	-0.0438	-0.197**	-0.133	-0.133			
	(0.0584)	(0.0571)	(0.0572)	(0.0829)	(0.0823)	(0.0819)			
d_Hefei	-0.0588	0.00821	0.00838	-0.0597	0.00849	0.00193			
	(0.0541)	(0.0533)	(0.0532)	(0.0799)	(0.0784)	(0.0781)			
Dsmoke							-0.0686**	-0.0757**	-0.0755**
							(0.0318)	(0.0310)	(0.0312)
Dbirth_rate							0.0569	0.0425	0.0430
							(0.0723)	(0.0723)	(0.0718)
DVeryEarly_disease_d							0.130	0.154	0.146
							(0.222)	(0.225)	(0.223)
Dincome								-0.00476	-0.0115
								(0.0573)	(0.0583)
Dmarried								-0.208**	-0.214**
								(0.0885)	(0.0886)
Dhealth								-0.0720	-0.0726
								(0.0452)	(0.0452)
Dwork_over_40h									0.0586
									(0.0702)
Constant	2.411***	2.829***	2.830***	2.324***	2.693***	2.711***			
	(0.237)	(0.306)	(0.306)	(0.338)	(0.446)	(0.444)			
									
Observations	2,629	2,629	2,629	1,320	1,320	1,320	660	660	660
R-squared	0.016	0.049	0.049	0.032	0.065	0.066	0.008	0.020	0.021
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
