	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale
									
smoke	0.0196	0.0174	0.0171	0.0299	0.0313	0.0304			
	(0.0193)	(0.0191)	(0.0191)	(0.0279)	(0.0278)	(0.0278)			
age	0.491***	0.434**	0.439**	0.585**	0.636**	0.655**			
	(0.168)	(0.182)	(0.182)	(0.243)	(0.261)	(0.262)			
agesquared	-0.0592***	-0.0515**	-0.0518**	-0.0678**	-0.0718**	-0.0733**			
	(0.0225)	(0.0235)	(0.0235)	(0.0320)	(0.0333)	(0.0334)			
male	-0.00513	-0.0201	-0.0213	-0.147*	-0.182**	-0.185**			
	(0.0579)	(0.0582)	(0.0582)	(0.0836)	(0.0851)	(0.0849)			
birth_rate	0.0390	0.0282	0.0282	0.0462	0.0320	0.0327			
	(0.0400)	(0.0398)	(0.0398)	(0.0546)	(0.0543)	(0.0542)			
VeryEarly_disease_d	0.0277	0.0751	0.0755	-0.00774	0.0441	0.0428			
	(0.188)	(0.191)	(0.191)	(0.285)	(0.289)	(0.287)			
income		0.0524	0.0490		0.0744	0.0674			
		(0.0322)	(0.0329)		(0.0461)	(0.0471)			
married		0.0622	0.0613		-0.0267	-0.0316			
		(0.0569)	(0.0570)		(0.0839)	(0.0840)			
health		0.0847***	0.0845***		0.0875**	0.0862**			
		(0.0305)	(0.0305)		(0.0435)	(0.0434)			
work_over_40h			0.0302			0.0729			
			(0.0462)			(0.0683)			
d_Chengdu	0.0788	0.0516	0.0526	0.218**	0.198**	0.199**			
	(0.0669)	(0.0677)	(0.0676)	(0.0896)	(0.0895)	(0.0893)			
d_Chongqing	-0.211**	-0.209**	-0.209**	-0.241*	-0.235*	-0.234*			
	(0.0890)	(0.0877)	(0.0877)	(0.142)	(0.139)	(0.139)			
d_Haerbin	-0.248***	-0.276***	-0.276***	-0.250*	-0.279**	-0.280**			
	(0.0903)	(0.0904)	(0.0905)	(0.127)	(0.128)	(0.128)			
d_Hefei	0.0410	0.0137	0.0136	0.0388	0.0224	0.0294			
	(0.0665)	(0.0680)	(0.0680)	(0.0990)	(0.100)	(0.101)			
Dsmoke							0.0852*	0.0854*	0.0853*
							(0.0452)	(0.0452)	(0.0452)
Dbirth_rate							0.175*	0.167*	0.166*
							(0.0923)	(0.0907)	(0.0908)
DVeryEarly_disease_d							0.0365	0.0499	0.0522
							(0.336)	(0.342)	(0.342)
Dincome								0.0485	0.0504
								(0.0721)	(0.0738)
Dmarried								0.00956	0.0113
								(0.103)	(0.104)
Dhealth								0.0167	0.0169
								(0.0659)	(0.0660)
Dwork_over_40h									-0.0163
									(0.0927)
Constant	1.798***	1.245***	1.244***	1.604***	0.738	0.720			
	(0.312)	(0.400)	(0.400)	(0.460)	(0.581)	(0.580)			
									
Observations	2,614	2,614	2,614	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.024	0.024	0.031	0.039	0.040	0.010	0.011	0.011
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
