	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_4scale	scared_4scale	scared_4scale	scared_4scale	scared_4scale	scared_4scale	Dscared_4scale	Dscared_4scale	Dscared_4scale
									
smoke	-0.00851	-0.00731	-0.00715	0.00563	0.00532	0.00542			
	(0.0136)	(0.0135)	(0.0135)	(0.0197)	(0.0195)	(0.0196)			
age	-0.206	-0.176	-0.179	-0.152	-0.0961	-0.0981			
	(0.126)	(0.137)	(0.137)	(0.181)	(0.195)	(0.197)			
agesquared	0.0141	0.00965	0.00984	0.000719	-0.00619	-0.00603			
	(0.0167)	(0.0176)	(0.0176)	(0.0238)	(0.0250)	(0.0251)			
male	-0.0244	-0.0178	-0.0170	-0.0714	-0.0668	-0.0665			
	(0.0427)	(0.0429)	(0.0428)	(0.0613)	(0.0624)	(0.0623)			
birth_rate	-0.00285	0.00306	0.00305	0.00271	0.00958	0.00950			
	(0.0285)	(0.0282)	(0.0282)	(0.0402)	(0.0398)	(0.0399)			
VeryEarly_disease_d	0.217*	0.190	0.189	-0.0142	-0.0246	-0.0244			
	(0.125)	(0.125)	(0.125)	(0.180)	(0.175)	(0.176)			
income		0.000967	0.00317		0.00776	0.00849			
		(0.0236)	(0.0239)		(0.0337)	(0.0339)			
married		-0.0517	-0.0511		-0.0706	-0.0701			
		(0.0438)	(0.0438)		(0.0612)	(0.0614)			
health		-0.0840***	-0.0839***		-0.0826***	-0.0825***			
		(0.0218)	(0.0218)		(0.0301)	(0.0302)			
work_over_40h			-0.0200			-0.00754			
			(0.0334)			(0.0489)			
d_Chengdu	-0.103*	-0.0843	-0.0850	-0.188**	-0.172**	-0.173**			
	(0.0542)	(0.0538)	(0.0538)	(0.0769)	(0.0753)	(0.0753)			
d_Chongqing	-0.0754	-0.0793	-0.0788	-0.121	-0.126	-0.126			
	(0.0626)	(0.0624)	(0.0624)	(0.0976)	(0.0972)	(0.0972)			
d_Haerbin	-0.192***	-0.178***	-0.178***	-0.253***	-0.234***	-0.234***			
	(0.0531)	(0.0531)	(0.0532)	(0.0706)	(0.0714)	(0.0714)			
d_Hefei	-0.0637	-0.0371	-0.0370	-0.136*	-0.105	-0.105			
	(0.0511)	(0.0514)	(0.0514)	(0.0767)	(0.0770)	(0.0770)			
Dsmoke							-0.0161	-0.0193	-0.0184
							(0.0268)	(0.0267)	(0.0274)
Dbirth_rate							0.0919	0.0924	0.0941
							(0.0653)	(0.0651)	(0.0641)
DVeryEarly_disease_d							-0.145	-0.151	-0.177
							(0.282)	(0.279)	(0.261)
Dincome								-0.00811	-0.0297
								(0.0445)	(0.0449)
Dmarried								-0.0556	-0.0754
								(0.0622)	(0.0608)
Dhealth								-0.0577	-0.0595
								(0.0373)	(0.0374)
Dwork_over_40h									0.187***
									(0.0593)
Constant	2.300***	2.567***	2.567***	2.318***	2.496***	2.498***			
	(0.239)	(0.298)	(0.298)	(0.347)	(0.420)	(0.421)			
									
Observations	2,629	2,629	2,629	1,320	1,320	1,320	660	660	660
R-squared	0.021	0.029	0.029	0.036	0.044	0.044	0.004	0.008	0.022
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
