	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale
									
smoke	-0.00671	-0.00728	-0.00762	0.000487	0.00146	-6.35e-05			
	(0.0208)	(0.0207)	(0.0207)	(0.0294)	(0.0294)	(0.0293)			
age	0.223	0.280	0.289	0.581**	0.670**	0.703**			
	(0.188)	(0.203)	(0.204)	(0.276)	(0.300)	(0.301)			
agesquared	-0.0181	-0.0231	-0.0236	-0.0589	-0.0678*	-0.0705*			
	(0.0249)	(0.0261)	(0.0261)	(0.0359)	(0.0379)	(0.0379)			
male	0.206***	0.184***	0.182***	0.108	0.0821	0.0772			
	(0.0652)	(0.0659)	(0.0659)	(0.0929)	(0.0948)	(0.0944)			
birth_rate	0.0631	0.0538	0.0539	0.0497	0.0428	0.0441			
	(0.0438)	(0.0436)	(0.0436)	(0.0612)	(0.0611)	(0.0607)			
VeryEarly_disease_d	-0.132	-0.0912	-0.0910	-0.112	-0.0765	-0.0787			
	(0.207)	(0.208)	(0.209)	(0.312)	(0.311)	(0.308)			
income		0.0615*	0.0564		0.0628	0.0508			
		(0.0345)	(0.0350)		(0.0481)	(0.0486)			
married		-0.0451	-0.0466		-0.0764	-0.0846			
		(0.0626)	(0.0628)		(0.0925)	(0.0938)			
health		0.0455	0.0452		0.0171	0.0148			
		(0.0333)	(0.0332)		(0.0472)	(0.0471)			
work_over_40h			0.0473			0.124*			
			(0.0515)			(0.0743)			
d_Chengdu	0.0146	0.00208	0.00355	0.0997	0.0944	0.0962			
	(0.0768)	(0.0775)	(0.0777)	(0.114)	(0.115)	(0.115)			
d_Chongqing	-0.0685	-0.0639	-0.0652	-0.0686	-0.0666	-0.0661			
	(0.102)	(0.101)	(0.101)	(0.160)	(0.159)	(0.160)			
d_Haerbin	-0.146	-0.164*	-0.164*	-0.150	-0.160	-0.161			
	(0.0965)	(0.0971)	(0.0972)	(0.130)	(0.131)	(0.130)			
d_Hefei	-0.0282	-0.0298	-0.0299	-0.0255	-0.0175	-0.00569			
	(0.0755)	(0.0769)	(0.0769)	(0.115)	(0.117)	(0.117)			
Dsmoke							0.0327	0.0299	0.0301
							(0.0478)	(0.0485)	(0.0484)
Dbirth_rate							0.167*	0.158	0.158
							(0.101)	(0.0997)	(0.1000)
DVeryEarly_disease_d							-0.292	-0.280	-0.288
							(0.187)	(0.191)	(0.191)
Dincome								0.0359	0.0294
								(0.0713)	(0.0732)
Dmarried								-0.0579	-0.0639
								(0.0962)	(0.0975)
Dhealth								-0.0302	-0.0307
								(0.0662)	(0.0660)
Dwork_over_40h									0.0562
									(0.0860)
Constant	1.944***	1.301***	1.299***	1.266**	0.678	0.646			
	(0.352)	(0.445)	(0.445)	(0.532)	(0.660)	(0.659)			
									
Observations	2,578	2,578	2,578	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.020	0.021	0.026	0.028	0.031	0.006	0.008	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
