	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale
									
sports	0.0257*	0.0239*	0.0248*	0.0510***	0.0523***	0.0537***			
	(0.0135)	(0.0136)	(0.0136)	(0.0184)	(0.0187)	(0.0186)			
age	0.365**	0.302*	0.309*	0.526**	0.333	0.350			
	(0.153)	(0.172)	(0.172)	(0.209)	(0.234)	(0.234)			
agesquared	-0.0310	-0.0235	-0.0241	-0.0529*	-0.0326	-0.0341			
	(0.0203)	(0.0220)	(0.0220)	(0.0273)	(0.0294)	(0.0295)			
male	0.0645	0.0620	0.0601	0.0118	0.0264	0.0234			
	(0.0441)	(0.0448)	(0.0449)	(0.0610)	(0.0623)	(0.0624)			
birth_rate	0.0521	0.0491	0.0493	0.0289	0.0302	0.0309			
	(0.0355)	(0.0355)	(0.0356)	(0.0434)	(0.0437)	(0.0439)			
VeryEarly_disease_d	-0.0760	-0.0636	-0.0629	0.0885	0.0670	0.0661			
	(0.146)	(0.145)	(0.145)	(0.158)	(0.159)	(0.157)			
income		-0.000919	-0.00523		-0.0229	-0.0283			
		(0.0291)	(0.0296)		(0.0416)	(0.0423)			
married		0.0621	0.0610		0.165**	0.162**			
		(0.0569)	(0.0570)		(0.0780)	(0.0781)			
health		0.0451*	0.0447*		0.0152	0.0138			
		(0.0263)	(0.0263)		(0.0366)	(0.0366)			
work_over_40h			0.0383			0.0549			
			(0.0413)			(0.0564)			
d_Chengdu	-0.0233	-0.0365	-0.0345	-0.100	-0.110	-0.109			
	(0.0638)	(0.0643)	(0.0645)	(0.0868)	(0.0868)	(0.0871)			
d_Chongqing	-0.0624	-0.0632	-0.0640	-0.0742	-0.0756	-0.0752			
	(0.0794)	(0.0795)	(0.0793)	(0.118)	(0.118)	(0.117)			
d_Haerbin	0.0722	0.0627	0.0630	-0.0484	-0.0618	-0.0625			
	(0.0796)	(0.0799)	(0.0801)	(0.101)	(0.102)	(0.102)			
d_Hefei	-0.103*	-0.123**	-0.123**	-0.230***	-0.257***	-0.252***			
	(0.0612)	(0.0622)	(0.0622)	(0.0885)	(0.0906)	(0.0909)			
Dsports							0.0255	0.0231	0.0229
							(0.0265)	(0.0271)	(0.0273)
Dbirth_rate							0.0132	0.0283	0.0285
							(0.103)	(0.105)	(0.105)
DVeryEarly_disease_d							0.215	0.185	0.180
							(0.273)	(0.262)	(0.260)
Dincome								-0.0224	-0.0265
								(0.0629)	(0.0639)
Dmarried								0.136*	0.132
								(0.0811)	(0.0814)
Dhealth								0.0209	0.0206
								(0.0514)	(0.0515)
Dwork_over_40h									0.0360
									(0.0724)
Constant	1.991***	1.928***	1.924***	1.813***	2.195***	2.177***			
	(0.291)	(0.372)	(0.372)	(0.408)	(0.522)	(0.522)			
									
Observations	2,595	2,595	2,595	1,320	1,320	1,320	660	660	660
R-squared	0.032	0.034	0.034	0.053	0.057	0.058	0.002	0.006	0.007
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
