	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	Dhappiness_4scale	Dhappiness_4scale	Dhappiness_4scale
									
sports	0.0605***	0.0543***	0.0536***	0.0699***	0.0594***	0.0580***			
	(0.00986)	(0.00973)	(0.00972)	(0.0129)	(0.0128)	(0.0128)			
age	-0.0101	-0.217*	-0.223*	-0.0456	-0.176	-0.193			
	(0.116)	(0.126)	(0.126)	(0.158)	(0.176)	(0.176)			
agesquared	-0.00505	0.0196	0.0200	0.00134	0.0176	0.0191			
	(0.0159)	(0.0165)	(0.0165)	(0.0215)	(0.0228)	(0.0228)			
male	-0.0995***	-0.127***	-0.126***	-0.0899**	-0.129***	-0.126***			
	(0.0324)	(0.0326)	(0.0326)	(0.0446)	(0.0451)	(0.0450)			
birth_rate	0.00460	-0.0115	-0.0117	0.0440	0.0254	0.0247			
	(0.0264)	(0.0258)	(0.0258)	(0.0349)	(0.0328)	(0.0327)			
VeryEarly_disease_d	0.0931	0.163*	0.163*	0.162	0.219	0.220			
	(0.0997)	(0.0936)	(0.0938)	(0.137)	(0.140)	(0.140)			
income		0.112***	0.115***		0.116***	0.122***			
		(0.0210)	(0.0214)		(0.0286)	(0.0290)			
married		0.163***	0.164***		0.0976	0.101*			
		(0.0417)	(0.0417)		(0.0609)	(0.0608)			
health		0.104***	0.105***		0.0972***	0.0986***			
		(0.0201)	(0.0201)		(0.0272)	(0.0273)			
work_over_40h			-0.0279			-0.0541			
			(0.0307)			(0.0418)			
d_Chengdu	0.0348	-0.0164	-0.0179	0.0323	-0.00544	-0.00665			
	(0.0497)	(0.0482)	(0.0484)	(0.0709)	(0.0687)	(0.0691)			
d_Chongqing	0.0231	0.0172	0.0178	-0.0401	-0.0372	-0.0376			
	(0.0572)	(0.0564)	(0.0565)	(0.0897)	(0.0860)	(0.0861)			
d_Haerbin	0.136***	0.0846*	0.0845*	0.164***	0.114*	0.115*			
	(0.0490)	(0.0491)	(0.0491)	(0.0621)	(0.0629)	(0.0628)			
d_Hefei	0.00456	-0.0422	-0.0424	0.0327	-0.00568	-0.0113			
	(0.0485)	(0.0480)	(0.0480)	(0.0688)	(0.0687)	(0.0695)			
Dsports							0.0712***	0.0629***	0.0633***
							(0.0219)	(0.0213)	(0.0213)
Dbirth_rate							0.0245	0.00598	0.00553
							(0.0737)	(0.0695)	(0.0692)
DVeryEarly_disease_d							0.0441	0.0746	0.0833
							(0.237)	(0.244)	(0.244)
Dincome								0.0915*	0.0986**
								(0.0468)	(0.0465)
Dmarried								0.0896	0.0961
								(0.0707)	(0.0713)
Dhealth								0.124***	0.124***
								(0.0365)	(0.0365)
Dwork_over_40h									-0.0611
									(0.0552)
Constant	3.501***	2.756***	2.759***	3.466***	2.616***	2.634***			
	(0.217)	(0.272)	(0.273)	(0.308)	(0.383)	(0.384)			
									
Observations	2,605	2,605	2,605	1,320	1,320	1,320	660	660	660
R-squared	0.028	0.063	0.064	0.039	0.070	0.071	0.018	0.043	0.045
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
