	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale
									
sports	0.0300**	0.0292**	0.0276**	0.0537***	0.0508***	0.0499***			
	(0.0136)	(0.0137)	(0.0137)	(0.0187)	(0.0190)	(0.0189)			
age	0.380**	0.270	0.257	0.407*	0.263	0.251			
	(0.157)	(0.177)	(0.178)	(0.212)	(0.239)	(0.240)			
agesquared	-0.0293	-0.0171	-0.0161	-0.0353	-0.0193	-0.0183			
	(0.0209)	(0.0227)	(0.0227)	(0.0278)	(0.0301)	(0.0303)			
male	0.0509	0.0459	0.0492	0.0562	0.0459	0.0480			
	(0.0439)	(0.0447)	(0.0447)	(0.0590)	(0.0603)	(0.0602)			
birth_rate	0.0407	0.0365	0.0362	0.0479	0.0416	0.0411			
	(0.0373)	(0.0369)	(0.0369)	(0.0487)	(0.0479)	(0.0479)			
VeryEarly_disease_d	0.0714	0.0881	0.0869	0.347***	0.361***	0.361***			
	(0.152)	(0.151)	(0.152)	(0.119)	(0.125)	(0.126)			
income		0.0357	0.0431		0.0476	0.0513			
		(0.0267)	(0.0274)		(0.0382)	(0.0393)			
married		0.0839	0.0858		0.113	0.115			
		(0.0602)	(0.0601)		(0.0826)	(0.0828)			
health		0.0209	0.0217		0.0319	0.0329			
		(0.0267)	(0.0267)		(0.0376)	(0.0375)			
work_over_40h			-0.0661			-0.0373			
			(0.0436)			(0.0591)			
d_Chengdu	0.0705	0.0531	0.0496	0.0241	0.00516	0.00433			
	(0.0651)	(0.0654)	(0.0658)	(0.0943)	(0.0943)	(0.0945)			
d_Chongqing	-0.146*	-0.151*	-0.149*	-0.0425	-0.0430	-0.0433			
	(0.0773)	(0.0773)	(0.0776)	(0.109)	(0.109)	(0.109)			
d_Haerbin	0.108	0.0907	0.0904	-0.0618	-0.0879	-0.0875			
	(0.0753)	(0.0763)	(0.0760)	(0.0965)	(0.0975)	(0.0973)			
d_Hefei	-0.0587	-0.0753	-0.0758	-0.101	-0.124	-0.128			
	(0.0634)	(0.0641)	(0.0640)	(0.0895)	(0.0899)	(0.0905)			
Dsports							0.0711***	0.0732***	0.0733***
							(0.0260)	(0.0258)	(0.0258)
Dbirth_rate							-0.0659	-0.0480	-0.0482
							(0.0952)	(0.0961)	(0.0964)
DVeryEarly_disease_d							0.657**	0.603**	0.606**
							(0.259)	(0.263)	(0.262)
Dincome								0.0739	0.0763
								(0.0589)	(0.0598)
Dmarried								0.235**	0.238**
								(0.104)	(0.104)
Dhealth								-0.0744	-0.0743
								(0.0567)	(0.0567)
Dwork_over_40h									-0.0205
									(0.0746)
Constant	1.980***	1.856***	1.863***	1.944***	1.765***	1.778***			
	(0.303)	(0.376)	(0.377)	(0.424)	(0.518)	(0.519)			
									
Observations	2,599	2,599	2,599	1,320	1,320	1,320	660	660	660
R-squared	0.042	0.044	0.045	0.048	0.052	0.053	0.019	0.034	0.034
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
