	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale
									
sports	-0.0130	-0.00784	-0.00893	-0.0226	-0.0131	-0.0133			
	(0.0124)	(0.0123)	(0.0123)	(0.0168)	(0.0164)	(0.0164)			
age	-0.0732	0.0834	0.0740	0.0756	0.274	0.272			
	(0.130)	(0.144)	(0.144)	(0.180)	(0.204)	(0.204)			
agesquared	-0.00567	-0.0244	-0.0237	-0.0254	-0.0490*	-0.0487*			
	(0.0176)	(0.0187)	(0.0187)	(0.0240)	(0.0262)	(0.0262)			
male	0.0819**	0.0879**	0.0902**	0.0899*	0.0923*	0.0928*			
	(0.0375)	(0.0377)	(0.0377)	(0.0528)	(0.0541)	(0.0542)			
birth_rate	-0.00410	0.00352	0.00333	0.0208	0.0330	0.0328			
	(0.0304)	(0.0301)	(0.0301)	(0.0421)	(0.0420)	(0.0420)			
VeryEarly_disease_d	0.134	0.101	0.0999	-0.185	-0.194	-0.194			
	(0.149)	(0.144)	(0.144)	(0.206)	(0.201)	(0.200)			
income		0.0113	0.0164		0.0202	0.0210			
		(0.0235)	(0.0238)		(0.0338)	(0.0342)			
married		-0.160***	-0.159***		-0.190***	-0.190***			
		(0.0464)	(0.0463)		(0.0707)	(0.0707)			
health		-0.129***	-0.129***		-0.145***	-0.145***			
		(0.0225)	(0.0225)		(0.0313)	(0.0312)			
work_over_40h			-0.0456			-0.00825			
			(0.0353)			(0.0505)			
d_Chengdu	-0.0997*	-0.0646	-0.0671	-0.0684	-0.0359	-0.0361			
	(0.0569)	(0.0560)	(0.0560)	(0.0831)	(0.0801)	(0.0801)			
d_Chongqing	0.0876	0.0883	0.0893	0.149	0.143	0.142			
	(0.0662)	(0.0645)	(0.0644)	(0.0993)	(0.0969)	(0.0970)			
d_Haerbin	-0.116*	-0.0918	-0.0921	-0.105	-0.0675	-0.0674			
	(0.0623)	(0.0624)	(0.0625)	(0.0837)	(0.0841)	(0.0842)			
d_Hefei	-0.112**	-0.0574	-0.0577	-0.0989	-0.0322	-0.0330			
	(0.0523)	(0.0522)	(0.0522)	(0.0778)	(0.0777)	(0.0781)			
Dsports							0.00563	0.0148	0.0148
							(0.0235)	(0.0235)	(0.0236)
Dbirth_rate							0.0288	0.0251	0.0251
							(0.0685)	(0.0703)	(0.0704)
DVeryEarly_disease_d							-0.267	-0.259	-0.259
							(0.292)	(0.281)	(0.281)
Dincome								-0.0139	-0.0138
								(0.0552)	(0.0560)
Dmarried								-0.188**	-0.188**
								(0.0873)	(0.0872)
Dhealth								-0.127***	-0.127***
								(0.0477)	(0.0477)
Dwork_over_40h									-0.00149
									(0.0645)
Constant	2.434***	2.601***	2.606***	2.131***	2.224***	2.227***			
	(0.249)	(0.305)	(0.304)	(0.347)	(0.424)	(0.424)			
									
Observations	2,605	2,605	2,605	1,320	1,320	1,320	660	660	660
R-squared	0.029	0.048	0.049	0.036	0.060	0.060	0.002	0.023	0.023
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
