	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale
									
sports	-0.0332***	-0.0281**	-0.0292**	-0.0381**	-0.0303*	-0.0322*			
	(0.0123)	(0.0122)	(0.0123)	(0.0171)	(0.0169)	(0.0170)			
age	-0.0115	0.289**	0.279*	0.0607	0.418**	0.394*			
	(0.129)	(0.144)	(0.144)	(0.182)	(0.207)	(0.207)			
agesquared	-0.00792	-0.0422**	-0.0415**	-0.0220	-0.0620**	-0.0599**			
	(0.0174)	(0.0185)	(0.0185)	(0.0243)	(0.0263)	(0.0262)			
male	-0.152***	-0.138***	-0.136***	-0.175***	-0.159***	-0.155***			
	(0.0373)	(0.0372)	(0.0372)	(0.0527)	(0.0535)	(0.0533)			
birth_rate	-0.0126	0.000331	0.000145	0.0145	0.0293	0.0284			
	(0.0287)	(0.0281)	(0.0281)	(0.0388)	(0.0375)	(0.0376)			
VeryEarly_disease_d	0.181	0.127	0.126	0.0335	0.0108	0.0121			
	(0.145)	(0.141)	(0.141)	(0.219)	(0.219)	(0.218)			
income		-0.0591**	-0.0539**		-0.0710*	-0.0636			
		(0.0257)	(0.0262)		(0.0381)	(0.0387)			
married		-0.256***	-0.255***		-0.294***	-0.289***			
		(0.0479)	(0.0480)		(0.0722)	(0.0719)			
health		-0.125***	-0.125***		-0.108***	-0.106***			
		(0.0237)	(0.0237)		(0.0325)	(0.0324)			
work_over_40h			-0.0462			-0.0751			
			(0.0354)			(0.0498)			
d_Chengdu	-0.0353	0.0197	0.0172	-0.102	-0.0558	-0.0575			
	(0.0576)	(0.0574)	(0.0575)	(0.0842)	(0.0831)	(0.0826)			
d_Chongqing	0.0100	0.0184	0.0193	0.00611	0.00517	0.00470			
	(0.0650)	(0.0633)	(0.0633)	(0.0973)	(0.0949)	(0.0948)			
d_Haerbin	-0.0893	-0.0419	-0.0421	-0.191**	-0.130	-0.130			
	(0.0584)	(0.0570)	(0.0570)	(0.0823)	(0.0816)	(0.0811)			
d_Hefei	-0.0853	-0.0194	-0.0198	-0.0720	-0.00291	-0.0107			
	(0.0542)	(0.0533)	(0.0532)	(0.0795)	(0.0784)	(0.0782)			
Dsports							-0.00781	-0.00211	-0.00248
							(0.0275)	(0.0275)	(0.0275)
Dbirth_rate							0.0625	0.0509	0.0513
							(0.0716)	(0.0717)	(0.0713)
DVeryEarly_disease_d							0.119	0.145	0.136
							(0.229)	(0.232)	(0.230)
Dincome								-0.00680	-0.0137
								(0.0575)	(0.0584)
Dmarried								-0.196**	-0.203**
								(0.0891)	(0.0892)
Dhealth								-0.0673	-0.0678
								(0.0454)	(0.0454)
Dwork_over_40h									0.0601
									(0.0701)
Constant	2.613***	2.969***	2.973***	2.525***	2.789***	2.814***			
	(0.246)	(0.310)	(0.310)	(0.354)	(0.452)	(0.450)			
									
Observations	2,605	2,605	2,605	1,320	1,320	1,320	660	660	660
R-squared	0.020	0.051	0.052	0.035	0.066	0.068	0.002	0.013	0.014
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
