	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	sad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale
									
sports	0.0196	0.0185	0.0179	0.0540***	0.0508***	0.0495***			
	(0.0130)	(0.0131)	(0.0131)	(0.0166)	(0.0170)	(0.0170)			
age	0.292**	0.184	0.179	0.370*	0.277	0.262			
	(0.141)	(0.158)	(0.158)	(0.190)	(0.210)	(0.213)			
agesquared	-0.0289	-0.0169	-0.0165	-0.0366	-0.0259	-0.0245			
	(0.0189)	(0.0203)	(0.0203)	(0.0248)	(0.0265)	(0.0267)			
male	0.0986**	0.0935**	0.0947**	0.0959*	0.0858	0.0887			
	(0.0403)	(0.0408)	(0.0408)	(0.0538)	(0.0544)	(0.0542)			
birth_rate	0.0402	0.0358	0.0357	0.0381	0.0321	0.0314			
	(0.0333)	(0.0329)	(0.0329)	(0.0416)	(0.0409)	(0.0408)			
VeryEarly_disease_d	-0.108	-0.0902	-0.0907	0.0890	0.103	0.104			
	(0.145)	(0.145)	(0.145)	(0.159)	(0.159)	(0.161)			
income		0.0320	0.0347		0.0362	0.0412			
		(0.0254)	(0.0258)		(0.0344)	(0.0350)			
married		0.0845*	0.0852*		0.0737	0.0769			
		(0.0508)	(0.0508)		(0.0712)	(0.0716)			
health		0.0271	0.0274		0.0354	0.0367			
		(0.0247)	(0.0247)		(0.0348)	(0.0348)			
work_over_40h			-0.0235			-0.0511			
			(0.0382)			(0.0535)			
d_Chengdu	-0.0599	-0.0779	-0.0791	-0.106	-0.122	-0.123			
	(0.0600)	(0.0606)	(0.0608)	(0.0827)	(0.0828)	(0.0828)			
d_Chongqing	-0.0329	-0.0370	-0.0365	0.0574	0.0578	0.0575			
	(0.0741)	(0.0738)	(0.0739)	(0.0999)	(0.0997)	(0.100)			
d_Haerbin	0.0775	0.0606	0.0605	0.000434	-0.0200	-0.0194			
	(0.0696)	(0.0703)	(0.0703)	(0.0869)	(0.0877)	(0.0876)			
d_Hefei	-0.0461	-0.0643	-0.0644	-0.0257	-0.0451	-0.0504			
	(0.0586)	(0.0595)	(0.0595)	(0.0849)	(0.0870)	(0.0875)			
Dsports							0.0217	0.0246	0.0247
							(0.0226)	(0.0229)	(0.0230)
Dbirth_rate							-0.00367	0.00363	0.00346
							(0.100)	(0.101)	(0.101)
DVeryEarly_disease_d							0.215	0.194	0.197
							(0.272)	(0.277)	(0.277)
Dincome								0.0233	0.0259
								(0.0489)	(0.0496)
Dmarried								0.0561	0.0585
								(0.0850)	(0.0848)
Dhealth								-0.0590	-0.0588
								(0.0501)	(0.0501)
Dwork_over_40h									-0.0230
									(0.0713)
Constant	2.424***	2.296***	2.299***	2.208***	2.006***	2.023***			
	(0.271)	(0.337)	(0.337)	(0.375)	(0.456)	(0.457)			
									
Observations	2,592	2,592	2,592	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.020	0.020	0.034	0.037	0.038	0.002	0.006	0.006
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
