	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_4scale	scared_4scale	scared_4scale	scared_4scale	scared_4scale	scared_4scale	Dscared_4scale	Dscared_4scale	Dscared_4scale
									
sports	-0.0166	-0.0129	-0.0135	-0.000247	0.00585	0.00571			
	(0.0114)	(0.0115)	(0.0115)	(0.0162)	(0.0164)	(0.0164)			
age	-0.259**	-0.207	-0.213	-0.149	-0.0832	-0.0850			
	(0.128)	(0.139)	(0.139)	(0.181)	(0.195)	(0.196)			
agesquared	0.0205	0.0137	0.0141	0.000481	-0.00803	-0.00787			
	(0.0171)	(0.0179)	(0.0179)	(0.0238)	(0.0250)	(0.0251)			
male	-0.0513	-0.0446	-0.0431	-0.0615	-0.0562	-0.0559			
	(0.0355)	(0.0359)	(0.0359)	(0.0506)	(0.0520)	(0.0521)			
birth_rate	-0.000682	0.00442	0.00430	0.00314	0.0108	0.0108			
	(0.0285)	(0.0284)	(0.0284)	(0.0402)	(0.0400)	(0.0400)			
VeryEarly_disease_d	0.209*	0.185	0.185	-0.0155	-0.0267	-0.0266			
	(0.124)	(0.124)	(0.124)	(0.180)	(0.176)	(0.176)			
income		0.00419	0.00742		0.00715	0.00771			
		(0.0237)	(0.0240)		(0.0336)	(0.0339)			
married		-0.0619	-0.0612		-0.0689	-0.0685			
		(0.0438)	(0.0439)		(0.0613)	(0.0615)			
health		-0.0805***	-0.0802***		-0.0844***	-0.0843***			
		(0.0221)	(0.0221)		(0.0305)	(0.0306)			
work_over_40h			-0.0286			-0.00570			
			(0.0335)			(0.0489)			
d_Chengdu	-0.122**	-0.104*	-0.105*	-0.188**	-0.171**	-0.171**			
	(0.0549)	(0.0545)	(0.0544)	(0.0771)	(0.0756)	(0.0756)			
d_Chongqing	-0.0808	-0.0824	-0.0818	-0.120	-0.125	-0.125			
	(0.0627)	(0.0624)	(0.0623)	(0.0977)	(0.0973)	(0.0973)			
d_Haerbin	-0.190***	-0.176***	-0.177***	-0.254***	-0.236***	-0.236***			
	(0.0540)	(0.0540)	(0.0541)	(0.0704)	(0.0710)	(0.0710)			
d_Hefei	-0.0827	-0.0545	-0.0547	-0.136*	-0.103	-0.104			
	(0.0509)	(0.0513)	(0.0512)	(0.0765)	(0.0770)	(0.0770)			
Dsports							0.0246	0.0288	0.0276
							(0.0210)	(0.0213)	(0.0210)
Dbirth_rate							0.0981	0.100	0.102
							(0.0647)	(0.0644)	(0.0635)
DVeryEarly_disease_d							-0.131	-0.136	-0.162
							(0.283)	(0.281)	(0.262)
Dincome								-0.00911	-0.0306
								(0.0444)	(0.0448)
Dmarried								-0.0556	-0.0754
								(0.0622)	(0.0609)
Dhealth								-0.0624*	-0.0640*
								(0.0372)	(0.0372)
Dwork_over_40h									0.186***
									(0.0593)
Constant	2.429***	2.624***	2.626***	2.316***	2.475***	2.477***			
	(0.248)	(0.304)	(0.304)	(0.350)	(0.420)	(0.421)			
									
Observations	2,605	2,605	2,605	1,320	1,320	1,320	660	660	660
R-squared	0.023	0.031	0.031	0.036	0.044	0.044	0.005	0.010	0.024
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
