	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale
									
sports	-0.00694	-0.0117	-0.0106	0.0194	0.0157	0.0190			
	(0.0178)	(0.0177)	(0.0177)	(0.0250)	(0.0250)	(0.0250)			
age	0.217	0.272	0.282	0.623**	0.698**	0.737**			
	(0.191)	(0.205)	(0.206)	(0.280)	(0.303)	(0.304)			
agesquared	-0.0171	-0.0213	-0.0221	-0.0649*	-0.0722*	-0.0757**			
	(0.0253)	(0.0264)	(0.0264)	(0.0366)	(0.0384)	(0.0384)			
male	0.192***	0.169***	0.167***	0.111	0.0877	0.0805			
	(0.0550)	(0.0558)	(0.0559)	(0.0786)	(0.0804)	(0.0803)			
birth_rate	0.0622	0.0534	0.0537	0.0518	0.0451	0.0468			
	(0.0443)	(0.0442)	(0.0441)	(0.0611)	(0.0611)	(0.0607)			
VeryEarly_disease_d	-0.132	-0.0937	-0.0932	-0.112	-0.0791	-0.0814			
	(0.207)	(0.209)	(0.209)	(0.313)	(0.311)	(0.309)			
income		0.0576*	0.0525		0.0613	0.0486			
		(0.0346)	(0.0352)		(0.0482)	(0.0488)			
married		-0.0481	-0.0494		-0.0728	-0.0808			
		(0.0627)	(0.0629)		(0.0925)	(0.0937)			
health		0.0492	0.0486		0.0127	0.00937			
		(0.0334)	(0.0334)		(0.0469)	(0.0467)			
work_over_40h			0.0462			0.128*			
			(0.0521)			(0.0744)			
d_Chengdu	0.0142	0.00121	0.00343	0.105	0.0989	0.102			
	(0.0784)	(0.0789)	(0.0792)	(0.114)	(0.115)	(0.116)			
d_Chongqing	-0.0743	-0.0705	-0.0716	-0.0655	-0.0645	-0.0637			
	(0.102)	(0.101)	(0.101)	(0.160)	(0.159)	(0.160)			
d_Haerbin	-0.133	-0.150	-0.150	-0.155	-0.163	-0.165			
	(0.0974)	(0.0978)	(0.0979)	(0.131)	(0.131)	(0.131)			
d_Hefei	-0.0271	-0.0308	-0.0304	-0.0200	-0.0125	0.000917			
	(0.0761)	(0.0774)	(0.0774)	(0.115)	(0.117)	(0.117)			
Dsports							0.0206	0.0232	0.0229
							(0.0351)	(0.0349)	(0.0350)
Dbirth_rate							0.168*	0.159	0.159
							(0.101)	(0.0996)	(0.0999)
DVeryEarly_disease_d							-0.276	-0.263	-0.271
							(0.188)	(0.193)	(0.192)
Dincome								0.0363	0.0300
								(0.0713)	(0.0731)
Dmarried								-0.0645	-0.0703
								(0.0960)	(0.0972)
Dhealth								-0.0366	-0.0370
								(0.0648)	(0.0646)
Dwork_over_40h									0.0546
									(0.0864)
Constant	1.954***	1.334***	1.328***	1.157**	0.625	0.581			
	(0.364)	(0.455)	(0.454)	(0.549)	(0.666)	(0.666)			
									
Observations	2,555	2,555	2,555	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.020	0.021	0.027	0.029	0.032	0.006	0.008	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
