	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	angry_4scale	Dangry_4scale	Dangry_4scale	Dangry_4scale
									
travel	-0.0578	-0.0581	-0.0593	-0.0577	-0.0456	-0.0448			
	(0.0401)	(0.0406)	(0.0406)	(0.0562)	(0.0559)	(0.0557)			
age	0.120	0.0938	0.0895	0.209	0.222	0.225			
	(0.128)	(0.142)	(0.143)	(0.190)	(0.209)	(0.210)			
agesquared	-0.0247	-0.0232	-0.0229	-0.0361	-0.0390	-0.0391			
	(0.0176)	(0.0188)	(0.0188)	(0.0260)	(0.0276)	(0.0276)			
male	0.0747**	0.0828**	0.0841**	0.0813	0.0926*	0.0921*			
	(0.0368)	(0.0372)	(0.0372)	(0.0532)	(0.0542)	(0.0542)			
birth_rate	-0.00995	-0.00523	-0.00518	0.0615	0.0717*	0.0718*			
	(0.0298)	(0.0294)	(0.0294)	(0.0408)	(0.0391)	(0.0391)			
VeryEarly_disease_d	0.0715	0.0466	0.0462	-0.232	-0.253	-0.253			
	(0.141)	(0.139)	(0.139)	(0.194)	(0.187)	(0.187)			
income		0.0214	0.0244		0.00288	0.00191			
		(0.0231)	(0.0235)		(0.0330)	(0.0337)			
married		-0.0131	-0.0122		-0.0468	-0.0474			
		(0.0432)	(0.0432)		(0.0615)	(0.0613)			
health		-0.0913***	-0.0912***		-0.114***	-0.115***			
		(0.0224)	(0.0224)		(0.0331)	(0.0331)			
work_over_40h			-0.0255			0.00895			
			(0.0334)			(0.0476)			
d_Chengdu	-0.130**	-0.117**	-0.118**	-0.133*	-0.115	-0.114			
	(0.0523)	(0.0528)	(0.0528)	(0.0784)	(0.0784)	(0.0784)			
d_Chongqing	0.126**	0.119**	0.119**	0.157*	0.149*	0.149*			
	(0.0594)	(0.0592)	(0.0591)	(0.0832)	(0.0846)	(0.0847)			
d_Haerbin	0.0987*	0.107*	0.107*	0.0812	0.104	0.104			
	(0.0594)	(0.0594)	(0.0594)	(0.0821)	(0.0823)	(0.0823)			
d_Hefei	-0.00468	0.0174	0.0173	0.0531	0.0892	0.0900			
	(0.0504)	(0.0505)	(0.0505)	(0.0763)	(0.0764)	(0.0766)			
Dtravel							0.0832	0.0779	0.0775
							(0.0607)	(0.0612)	(0.0612)
Dbirth_rate							0.200*	0.205*	0.205*
							(0.104)	(0.105)	(0.105)
DVeryEarly_disease_d							-0.356	-0.380*	-0.383*
							(0.222)	(0.209)	(0.211)
Dincome								0.0180	0.0152
								(0.0515)	(0.0522)
Dmarried								-0.0299	-0.0326
								(0.0755)	(0.0760)
Dhealth								-0.122***	-0.122***
								(0.0449)	(0.0450)
Dwork_over_40h									0.0247
									(0.0623)
Constant	2.225***	2.486***	2.486***	1.890***	2.281***	2.280***			
	(0.234)	(0.293)	(0.293)	(0.344)	(0.437)	(0.438)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.026	0.027	0.028	0.041	0.041	0.017	0.031	0.031
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
