	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale
									
travel	0.0704	0.0720	0.0732	0.0416	0.0350	0.0440			
	(0.0559)	(0.0566)	(0.0565)	(0.0792)	(0.0806)	(0.0801)			
age	0.220	0.256	0.261	0.376	0.444	0.470*			
	(0.169)	(0.186)	(0.186)	(0.250)	(0.270)	(0.270)			
agesquared	-0.0213	-0.0240	-0.0243	-0.0403	-0.0467	-0.0487			
	(0.0228)	(0.0242)	(0.0242)	(0.0334)	(0.0351)	(0.0350)			
male	0.122**	0.115**	0.114**	0.0990	0.0883	0.0827			
	(0.0479)	(0.0486)	(0.0487)	(0.0704)	(0.0725)	(0.0723)			
birth_rate	0.0190	0.0151	0.0151	0.0327	0.0267	0.0276			
	(0.0406)	(0.0407)	(0.0407)	(0.0570)	(0.0571)	(0.0567)			
VeryEarly_disease_d	-0.0406	-0.0209	-0.0205	-0.133	-0.114	-0.115			
	(0.181)	(0.183)	(0.183)	(0.279)	(0.279)	(0.280)			
income		-0.0211	-0.0240		0.00227	-0.00857			
		(0.0324)	(0.0331)		(0.0485)	(0.0496)			
married		0.000147	-0.000682		-0.0361	-0.0431			
		(0.0555)	(0.0556)		(0.0800)	(0.0805)			
health		0.0758**	0.0757**		0.0601	0.0581			
		(0.0299)	(0.0299)		(0.0440)	(0.0438)			
work_over_40h			0.0254			0.101			
			(0.0459)			(0.0665)			
d_Chengdu	0.0507	0.0421	0.0429	0.105	0.0986	0.100			
	(0.0679)	(0.0676)	(0.0676)	(0.0966)	(0.0961)	(0.0959)			
d_Chongqing	-0.198***	-0.192**	-0.192**	-0.234**	-0.228*	-0.228*			
	(0.0751)	(0.0751)	(0.0751)	(0.118)	(0.117)	(0.117)			
d_Haerbin	-0.250***	-0.255***	-0.255***	-0.224*	-0.231*	-0.233*			
	(0.0914)	(0.0913)	(0.0913)	(0.127)	(0.127)	(0.127)			
d_Hefei	-0.0563	-0.0731	-0.0731	-0.0707	-0.0809	-0.0709			
	(0.0621)	(0.0631)	(0.0631)	(0.0932)	(0.0948)	(0.0948)			
Dtravel							0.0649	0.0591	0.0614
							(0.0945)	(0.0963)	(0.0973)
Dbirth_rate							0.0885	0.0791	0.0777
							(0.0861)	(0.0849)	(0.0845)
DVeryEarly_disease_d							0.192	0.207	0.227
							(0.408)	(0.406)	(0.404)
Dincome								0.0270	0.0435
								(0.0673)	(0.0671)
Dmarried								-0.0734	-0.0580
								(0.103)	(0.103)
Dhealth								-0.0227	-0.0213
								(0.0628)	(0.0631)
Dwork_over_40h									-0.144
									(0.0890)
Constant	2.044***	1.826***	1.826***	1.725***	1.379**	1.359**			
	(0.311)	(0.393)	(0.392)	(0.466)	(0.578)	(0.576)			
									
Observations	2,624	2,624	2,624	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.021	0.021	0.023	0.025	0.027	0.003	0.004	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
