	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	Dhappiness_4scale	Dhappiness_4scale	Dhappiness_4scale
									
travel	0.115***	0.0675*	0.0652*	0.0805	0.0174	0.0113			
	(0.0357)	(0.0358)	(0.0359)	(0.0499)	(0.0490)	(0.0491)			
age	-0.123	-0.299**	-0.307**	-0.200	-0.281	-0.298*			
	(0.115)	(0.126)	(0.126)	(0.156)	(0.174)	(0.174)			
agesquared	0.0116	0.0324**	0.0328**	0.0240	0.0340	0.0353			
	(0.0157)	(0.0164)	(0.0165)	(0.0211)	(0.0224)	(0.0224)			
male	-0.104***	-0.135***	-0.133***	-0.0959**	-0.139***	-0.135***			
	(0.0324)	(0.0326)	(0.0326)	(0.0451)	(0.0456)	(0.0455)			
birth_rate	-0.00248	-0.0186	-0.0186	0.0360	0.0172	0.0165			
	(0.0270)	(0.0265)	(0.0264)	(0.0355)	(0.0331)	(0.0331)			
VeryEarly_disease_d	0.0790	0.150	0.149	0.174	0.229	0.229			
	(0.0994)	(0.0930)	(0.0933)	(0.140)	(0.141)	(0.141)			
income		0.111***	0.116***		0.120***	0.127***			
		(0.0213)	(0.0217)		(0.0287)	(0.0292)			
married		0.149***	0.150***		0.0841	0.0888			
		(0.0417)	(0.0417)		(0.0611)	(0.0610)			
health		0.111***	0.111***		0.114***	0.115***			
		(0.0200)	(0.0200)		(0.0273)	(0.0274)			
work_over_40h			-0.0444			-0.0678			
			(0.0308)			(0.0421)			
d_Chengdu	-0.00183	-0.0502	-0.0518	0.0131	-0.0228	-0.0238			
	(0.0501)	(0.0487)	(0.0488)	(0.0710)	(0.0687)	(0.0691)			
d_Chongqing	0.00124	0.00206	0.00336	-0.0556	-0.0460	-0.0458			
	(0.0575)	(0.0567)	(0.0568)	(0.0910)	(0.0868)	(0.0869)			
d_Haerbin	0.136***	0.0900*	0.0898*	0.170***	0.124**	0.126**			
	(0.0480)	(0.0484)	(0.0485)	(0.0614)	(0.0628)	(0.0626)			
d_Hefei	-0.0208	-0.0656	-0.0656	0.0161	-0.0241	-0.0309			
	(0.0483)	(0.0479)	(0.0479)	(0.0692)	(0.0695)	(0.0702)			
Dtravel							0.0148	0.00352	0.00443
							(0.0734)	(0.0718)	(0.0714)
Dbirth_rate							0.0104	-0.00635	-0.00691
							(0.0706)	(0.0666)	(0.0662)
DVeryEarly_disease_d							-0.000468	0.0369	0.0450
							(0.231)	(0.241)	(0.240)
Dincome								0.0923*	0.0990**
								(0.0474)	(0.0474)
Dmarried								0.0959	0.102
								(0.0716)	(0.0723)
Dhealth								0.136***	0.137***
								(0.0376)	(0.0375)
Dwork_over_40h									-0.0580
									(0.0553)
Constant	3.801***	2.984***	2.984***	3.851***	2.827***	2.840***			
	(0.210)	(0.273)	(0.273)	(0.298)	(0.387)	(0.388)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.053	0.053	0.020	0.055	0.057	0.000	0.029	0.031
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
