	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	sad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale
									
travel	-0.106***	-0.0785*	-0.0806**	-0.0784	-0.0313	-0.0376			
	(0.0405)	(0.0408)	(0.0408)	(0.0551)	(0.0564)	(0.0566)			
age	0.0820	0.361**	0.354**	0.148	0.472**	0.454**			
	(0.127)	(0.143)	(0.143)	(0.179)	(0.204)	(0.203)			
agesquared	-0.0209	-0.0525***	-0.0521***	-0.0349	-0.0705***	-0.0691***			
	(0.0172)	(0.0184)	(0.0184)	(0.0238)	(0.0258)	(0.0257)			
male	-0.148***	-0.134***	-0.132***	-0.173***	-0.155***	-0.152***			
	(0.0371)	(0.0371)	(0.0371)	(0.0528)	(0.0536)	(0.0534)			
birth_rate	-0.00837	0.00383	0.00392	0.0192	0.0335	0.0328			
	(0.0282)	(0.0276)	(0.0276)	(0.0390)	(0.0376)	(0.0376)			
VeryEarly_disease_d	0.185	0.133	0.132	0.0220	0.00352	0.00392			
	(0.147)	(0.142)	(0.142)	(0.220)	(0.218)	(0.218)			
income		-0.0513**	-0.0464*		-0.0702*	-0.0627			
		(0.0259)	(0.0264)		(0.0390)	(0.0396)			
married		-0.247***	-0.246***		-0.287***	-0.282***			
		(0.0475)	(0.0475)		(0.0723)	(0.0720)			
health		-0.128***	-0.127***		-0.116***	-0.115***			
		(0.0235)	(0.0235)		(0.0324)	(0.0323)			
work_over_40h			-0.0422			-0.0694			
			(0.0350)			(0.0498)			
d_Chengdu	-0.0192	0.0327	0.0312	-0.0907	-0.0471	-0.0481			
	(0.0563)	(0.0560)	(0.0560)	(0.0835)	(0.0822)	(0.0817)			
d_Chongqing	0.0174	0.0209	0.0221	0.0166	0.0109	0.0111			
	(0.0653)	(0.0638)	(0.0638)	(0.0976)	(0.0953)	(0.0953)			
d_Haerbin	-0.0775	-0.0341	-0.0342	-0.189**	-0.133	-0.132			
	(0.0583)	(0.0569)	(0.0570)	(0.0825)	(0.0818)	(0.0814)			
d_Hefei	-0.0623	0.00181	0.00180	-0.0644	0.00549	-0.00145			
	(0.0536)	(0.0528)	(0.0527)	(0.0800)	(0.0786)	(0.0783)			
Dtravel							0.0274	0.0249	0.0239
							(0.0758)	(0.0753)	(0.0751)
Dbirth_rate							0.0618	0.0497	0.0503
							(0.0718)	(0.0719)	(0.0714)
DVeryEarly_disease_d							0.127	0.148	0.139
							(0.228)	(0.231)	(0.229)
Dincome								-0.00834	-0.0152
								(0.0576)	(0.0585)
Dmarried								-0.196**	-0.203**
								(0.0893)	(0.0894)
Dhealth								-0.0677	-0.0682
								(0.0453)	(0.0452)
Dwork_over_40h									0.0597
									(0.0700)
Constant	2.393***	2.748***	2.748***	2.317***	2.667***	2.680***			
	(0.236)	(0.307)	(0.306)	(0.339)	(0.449)	(0.447)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.048	0.049	0.032	0.064	0.065	0.002	0.013	0.014
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
