	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	sad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale	Dsad_hide_4scale
									
travel	0.0776	0.0548	0.0564	0.117	0.0820	0.0892			
	(0.0575)	(0.0581)	(0.0581)	(0.0813)	(0.0832)	(0.0831)			
age	0.502***	0.443**	0.449**	0.593**	0.648**	0.668**			
	(0.167)	(0.182)	(0.182)	(0.243)	(0.261)	(0.262)			
agesquared	-0.0599***	-0.0522**	-0.0525**	-0.0677**	-0.0723**	-0.0739**			
	(0.0224)	(0.0235)	(0.0235)	(0.0320)	(0.0332)	(0.0333)			
male	0.0294	0.0108	0.00921	-0.0906	-0.121*	-0.126*			
	(0.0486)	(0.0493)	(0.0492)	(0.0689)	(0.0705)	(0.0703)			
birth_rate	0.0427	0.0329	0.0328	0.0475	0.0347	0.0355			
	(0.0401)	(0.0398)	(0.0398)	(0.0540)	(0.0539)	(0.0538)			
VeryEarly_disease_d	0.0334	0.0768	0.0773	0.00159	0.0439	0.0434			
	(0.187)	(0.190)	(0.190)	(0.281)	(0.285)	(0.283)			
income		0.0477	0.0441		0.0643	0.0556			
		(0.0328)	(0.0336)		(0.0475)	(0.0486)			
married		0.0619	0.0609		-0.0257	-0.0313			
		(0.0568)	(0.0569)		(0.0837)	(0.0838)			
health		0.0837***	0.0835***		0.0857**	0.0841*			
		(0.0305)	(0.0305)		(0.0435)	(0.0434)			
work_over_40h			0.0315			0.0807			
			(0.0463)			(0.0684)			
d_Chengdu	0.0798	0.0540	0.0550	0.216**	0.198**	0.199**			
	(0.0670)	(0.0677)	(0.0677)	(0.0902)	(0.0899)	(0.0896)			
d_Chongqing	-0.211**	-0.208**	-0.209**	-0.246*	-0.238*	-0.238*			
	(0.0886)	(0.0876)	(0.0875)	(0.141)	(0.139)	(0.139)			
d_Haerbin	-0.255***	-0.279***	-0.279***	-0.271**	-0.293**	-0.295**			
	(0.0907)	(0.0906)	(0.0907)	(0.126)	(0.127)	(0.127)			
d_Hefei	0.0416	0.0150	0.0150	0.0419	0.0241	0.0321			
	(0.0666)	(0.0680)	(0.0680)	(0.0994)	(0.101)	(0.102)			
Dtravel							0.0738	0.0664	0.0667
							(0.103)	(0.104)	(0.104)
Dbirth_rate							0.161*	0.152*	0.152*
							(0.0929)	(0.0914)	(0.0915)
DVeryEarly_disease_d							0.0491	0.0627	0.0653
							(0.329)	(0.334)	(0.334)
Dincome								0.0468	0.0489
								(0.0731)	(0.0748)
Dmarried								-0.00163	0.000355
								(0.105)	(0.106)
Dhealth								0.0121	0.0123
								(0.0655)	(0.0656)
Dwork_over_40h									-0.0185
									(0.0932)
Constant	1.765***	1.249***	1.249***	1.579***	0.784	0.769			
	(0.311)	(0.402)	(0.402)	(0.462)	(0.586)	(0.584)			
									
Observations	2,620	2,620	2,620	1,320	1,320	1,320	660	660	660
R-squared	0.018	0.023	0.024	0.032	0.038	0.039	0.005	0.006	0.006
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
