	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_4scale	scared_4scale	scared_4scale	scared_4scale	scared_4scale	scared_4scale	Dscared_4scale	Dscared_4scale	Dscared_4scale
									
travel	-0.0839**	-0.0810**	-0.0823**	-0.0408	-0.0354	-0.0363			
	(0.0382)	(0.0388)	(0.0389)	(0.0548)	(0.0566)	(0.0567)			
age	-0.208*	-0.173	-0.178	-0.145	-0.0919	-0.0943			
	(0.126)	(0.137)	(0.137)	(0.181)	(0.195)	(0.196)			
agesquared	0.0138	0.00901	0.00924	-0.000208	-0.00680	-0.00661			
	(0.0167)	(0.0176)	(0.0176)	(0.0238)	(0.0250)	(0.0250)			
male	-0.0428	-0.0362	-0.0350	-0.0626	-0.0595	-0.0590			
	(0.0354)	(0.0359)	(0.0359)	(0.0507)	(0.0522)	(0.0522)			
birth_rate	-0.00394	0.000873	0.000925	0.00355	0.00999	0.00990			
	(0.0284)	(0.0283)	(0.0283)	(0.0402)	(0.0399)	(0.0399)			
VeryEarly_disease_d	0.208*	0.185	0.184	-0.0212	-0.0292	-0.0292			
	(0.126)	(0.126)	(0.126)	(0.180)	(0.175)	(0.175)			
income		0.00970	0.0126		0.0119	0.0129			
		(0.0240)	(0.0244)		(0.0345)	(0.0348)			
married		-0.0551	-0.0543		-0.0696	-0.0689			
		(0.0437)	(0.0437)		(0.0613)	(0.0615)			
health		-0.0817***	-0.0816***		-0.0822***	-0.0820***			
		(0.0219)	(0.0219)		(0.0302)	(0.0302)			
work_over_40h			-0.0253			-0.00931			
			(0.0334)			(0.0489)			
d_Chengdu	-0.101*	-0.0843	-0.0852	-0.187**	-0.173**	-0.173**			
	(0.0541)	(0.0537)	(0.0536)	(0.0769)	(0.0754)	(0.0753)			
d_Chongqing	-0.0711	-0.0749	-0.0742	-0.118	-0.123	-0.123			
	(0.0624)	(0.0621)	(0.0621)	(0.0973)	(0.0970)	(0.0969)			
d_Haerbin	-0.174***	-0.162***	-0.162***	-0.248***	-0.230***	-0.230***			
	(0.0539)	(0.0538)	(0.0539)	(0.0707)	(0.0712)	(0.0713)			
d_Hefei	-0.0622	-0.0361	-0.0361	-0.138*	-0.107	-0.108			
	(0.0508)	(0.0510)	(0.0509)	(0.0766)	(0.0770)	(0.0770)			
Dtravel							-0.0635	-0.0645	-0.0674
							(0.0646)	(0.0650)	(0.0640)
Dbirth_rate							0.0984	0.0987	0.101
							(0.0651)	(0.0649)	(0.0638)
DVeryEarly_disease_d							-0.151	-0.157	-0.183
							(0.281)	(0.278)	(0.260)
Dincome								-0.00473	-0.0263
								(0.0448)	(0.0451)
Dmarried								-0.0540	-0.0741
								(0.0622)	(0.0609)
Dhealth								-0.0569	-0.0587
								(0.0376)	(0.0376)
Dwork_over_40h									0.188***
									(0.0592)
Constant	2.319***	2.517***	2.517***	2.318***	2.472***	2.474***			
	(0.240)	(0.301)	(0.300)	(0.348)	(0.424)	(0.425)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.023	0.030	0.030	0.036	0.044	0.044	0.004	0.008	0.023
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
