	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	Dscared_control_4scale	Dscared_control_4scale	Dscared_control_4scale
									
travel	0.0623	0.0585	0.0542	0.0376	0.0313	0.0235			
	(0.0522)	(0.0533)	(0.0533)	(0.0729)	(0.0742)	(0.0741)			
age	0.225	0.274	0.257	0.279	0.299	0.276			
	(0.164)	(0.180)	(0.181)	(0.229)	(0.251)	(0.253)			
agesquared	-0.0179	-0.0226	-0.0216	-0.0237	-0.0255	-0.0238			
	(0.0218)	(0.0232)	(0.0232)	(0.0297)	(0.0315)	(0.0316)			
male	0.168***	0.161***	0.166***	0.105	0.0982	0.103			
	(0.0482)	(0.0486)	(0.0485)	(0.0656)	(0.0667)	(0.0666)			
birth_rate	0.0784**	0.0761**	0.0762**	0.0374	0.0342	0.0333			
	(0.0377)	(0.0377)	(0.0375)	(0.0480)	(0.0476)	(0.0475)			
VeryEarly_disease_d	-0.232	-0.219	-0.221	-0.103	-0.0936	-0.0931			
	(0.194)	(0.195)	(0.195)	(0.205)	(0.203)	(0.206)			
income		0.00566	0.0165		0.00870	0.0181			
		(0.0294)	(0.0299)		(0.0411)	(0.0416)			
married		-0.0319	-0.0289		-0.00883	-0.00279			
		(0.0566)	(0.0566)		(0.0789)	(0.0793)			
health		0.0240	0.0247		0.0270	0.0287			
		(0.0272)	(0.0272)		(0.0388)	(0.0388)			
work_over_40h			-0.0948**			-0.0870			
			(0.0435)			(0.0604)			
d_Chengdu	-0.210***	-0.212***	-0.215***	-0.206**	-0.210**	-0.211**			
	(0.0737)	(0.0739)	(0.0737)	(0.1000)	(0.100)	(0.0997)			
d_Chongqing	0.0274	0.0312	0.0342	0.00262	0.00513	0.00534			
	(0.0799)	(0.0801)	(0.0806)	(0.118)	(0.119)	(0.119)			
d_Haerbin	0.187**	0.185**	0.185**	0.0883	0.0832	0.0847			
	(0.0757)	(0.0767)	(0.0764)	(0.0941)	(0.0950)	(0.0949)			
d_Hefei	-0.146**	-0.146**	-0.146**	-0.202**	-0.208**	-0.216**			
	(0.0663)	(0.0678)	(0.0677)	(0.101)	(0.104)	(0.104)			
Dtravel							0.0173	0.0216	0.0217
							(0.0867)	(0.0887)	(0.0888)
Dbirth_rate							0.0585	0.0720	0.0720
							(0.0720)	(0.0738)	(0.0739)
DVeryEarly_disease_d							-0.207	-0.240	-0.239
							(0.236)	(0.243)	(0.244)
Dincome								-0.0345	-0.0337
								(0.0535)	(0.0551)
Dmarried								0.0105	0.0112
								(0.0851)	(0.0858)
Dhealth								-0.0822	-0.0822
								(0.0509)	(0.0510)
Dwork_over_40h									-0.00654
									(0.0651)
Constant	2.310***	2.107***	2.107***	2.377***	2.192***	2.209***			
	(0.305)	(0.383)	(0.382)	(0.441)	(0.542)	(0.543)			
									
Observations	2,598	2,598	2,598	1,320	1,320	1,320	660	660	660
R-squared	0.034	0.035	0.037	0.033	0.033	0.035	0.002	0.007	0.007
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
