	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale
									
travel	0.0449	0.0200	0.0220	0.0944	0.0720	0.0836			
	(0.0620)	(0.0629)	(0.0629)	(0.0860)	(0.0880)	(0.0877)			
age	0.209	0.273	0.281	0.574**	0.667**	0.701**			
	(0.187)	(0.202)	(0.203)	(0.275)	(0.300)	(0.301)			
agesquared	-0.0164	-0.0221	-0.0226	-0.0575	-0.0672*	-0.0697*			
	(0.0248)	(0.0260)	(0.0260)	(0.0359)	(0.0379)	(0.0379)			
male	0.193***	0.170***	0.168***	0.111	0.0890	0.0819			
	(0.0547)	(0.0556)	(0.0557)	(0.0787)	(0.0807)	(0.0805)			
birth_rate	0.0640	0.0553	0.0552	0.0489	0.0430	0.0443			
	(0.0439)	(0.0437)	(0.0436)	(0.0608)	(0.0609)	(0.0604)			
VeryEarly_disease_d	-0.129	-0.0905	-0.0902	-0.0986	-0.0701	-0.0708			
	(0.207)	(0.208)	(0.209)	(0.312)	(0.311)	(0.308)			
income		0.0598*	0.0546		0.0542	0.0403			
		(0.0352)	(0.0357)		(0.0492)	(0.0497)			
married		-0.0494	-0.0510		-0.0775	-0.0865			
		(0.0625)	(0.0627)		(0.0925)	(0.0938)			
health		0.0457	0.0455		0.0161	0.0135			
		(0.0332)	(0.0332)		(0.0471)	(0.0470)			
work_over_40h			0.0451			0.129*			
			(0.0514)			(0.0742)			
d_Chengdu	0.0134	0.00207	0.00346	0.0982	0.0946	0.0965			
	(0.0768)	(0.0775)	(0.0777)	(0.114)	(0.115)	(0.116)			
d_Chongqing	-0.0731	-0.0665	-0.0679	-0.0741	-0.0707	-0.0710			
	(0.102)	(0.101)	(0.101)	(0.160)	(0.159)	(0.160)			
d_Haerbin	-0.146	-0.160*	-0.160*	-0.164	-0.168	-0.170			
	(0.0967)	(0.0972)	(0.0972)	(0.129)	(0.130)	(0.130)			
d_Hefei	-0.0251	-0.0264	-0.0264	-0.0216	-0.0143	-0.00141			
	(0.0753)	(0.0766)	(0.0766)	(0.116)	(0.117)	(0.118)			
Dtravel							0.0714	0.0647	0.0638
							(0.0958)	(0.0968)	(0.0964)
Dbirth_rate							0.159	0.150	0.151
							(0.101)	(0.0994)	(0.0996)
DVeryEarly_disease_d							-0.284	-0.273	-0.281
							(0.189)	(0.193)	(0.193)
Dincome								0.0328	0.0265
								(0.0717)	(0.0736)
Dmarried								-0.0610	-0.0669
								(0.0963)	(0.0974)
Dhealth								-0.0317	-0.0322
								(0.0661)	(0.0659)
Dwork_over_40h									0.0550
									(0.0859)
Constant	1.952***	1.313***	1.312***	1.259**	0.724	0.699			
	(0.351)	(0.445)	(0.445)	(0.533)	(0.660)	(0.659)			
									
Observations	2,584	2,584	2,584	1,320	1,320	1,320	660	660	660
R-squared	0.017	0.020	0.020	0.027	0.029	0.032	0.006	0.008	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
