	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale	happiness_4scale
						
edu	0.0426***	0.0429***	0.0267***	0.0283***	0.0299***	0.0289***
	(0.00936)	(0.00937)	(0.00998)	(0.0100)	(0.00999)	(0.0100)
age	-0.242	-0.245	-0.297	-0.627***	-0.536**	-0.545**
	(0.197)	(0.197)	(0.197)	(0.216)	(0.215)	(0.216)
agesquared	0.0279	0.0281	0.0333	0.0680**	0.0618**	0.0622**
	(0.0265)	(0.0265)	(0.0265)	(0.0282)	(0.0280)	(0.0280)
male	-0.179***	-0.177***	-0.220***	-0.203***	-0.227***	-0.225***
	(0.0560)	(0.0561)	(0.0571)	(0.0571)	(0.0576)	(0.0576)
birth_rate		0.00113	-0.0128	-0.0112	-0.0228	-0.0226
		(0.0445)	(0.0444)	(0.0446)	(0.0447)	(0.0447)
VeryEarly_disease_d		0.151	0.208	0.198	0.265	0.263
		(0.196)	(0.194)	(0.193)	(0.187)	(0.187)
income			0.186***	0.179***	0.154***	0.162***
			(0.0381)	(0.0382)	(0.0382)	(0.0391)
married				0.264***	0.258***	0.260***
				(0.0686)	(0.0680)	(0.0681)
health					0.199***	0.199***
					(0.0343)	(0.0344)
work_over_40h						-0.0557
						(0.0536)
d_Chengdu	0.00558	0.00644	-0.0286	-0.0511	-0.0793	-0.0816
	(0.0849)	(0.0851)	(0.0861)	(0.0854)	(0.0850)	(0.0852)
d_Chongqing	0.0336	0.0286	0.0137	-0.00189	0.0141	0.0142
	(0.0956)	(0.0960)	(0.0960)	(0.0970)	(0.0971)	(0.0973)
d_Haerbin	0.254***	0.251***	0.223**	0.209**	0.185*	0.186*
	(0.0963)	(0.0962)	(0.0971)	(0.0968)	(0.0977)	(0.0978)
d_Hefei	-0.0253	-0.0244	-0.0330	-0.0723	-0.113	-0.114
	(0.0796)	(0.0798)	(0.0801)	(0.0804)	(0.0807)	(0.0808)
Constant cut1	-2.213***	-2.211***	-1.378***	-1.935***	-1.176**	-1.180**
	(0.377)	(0.390)	(0.425)	(0.454)	(0.471)	(0.471)
Constant cut2	-1.440***	-1.437***	-0.597	-1.152**	-0.387	-0.390
	(0.376)	(0.388)	(0.425)	(0.451)	(0.470)	(0.471)
Constant cut3	-0.309	-0.306	0.543	-0.00582	0.771	0.769
	(0.373)	(0.386)	(0.424)	(0.451)	(0.470)	(0.471)
						
Observations	2,635	2,635	2,635	2,635	2,635	2,635
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
