	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale
								
Dedu	0.0133	0.0139	0.0116	0.0109				
	(0.0309)	(0.0311)	(0.0311)	(0.0311)				
Dbirth_rate	0.00354	0.00634	0.0179	0.0186	0.00502	0.00750	0.0192	0.0201
	(0.104)	(0.104)	(0.106)	(0.106)	(0.104)	(0.104)	(0.106)	(0.105)
DVeryEarly_disease_d	0.202	0.198	0.175	0.168	0.200	0.197	0.173	0.166
	(0.269)	(0.270)	(0.258)	(0.257)	(0.271)	(0.272)	(0.260)	(0.258)
Dincome		-0.0175	-0.0180	-0.0230		-0.0157	-0.0161	-0.0211
		(0.0654)	(0.0653)	(0.0661)		(0.0649)	(0.0648)	(0.0657)
Dmarried			0.138*	0.133			0.139*	0.134
			(0.0814)	(0.0817)			(0.0812)	(0.0816)
Dhealth			0.0231	0.0227			0.0240	0.0236
			(0.0523)	(0.0524)			(0.0519)	(0.0521)
Dwork_over_40h				0.0465				0.0478
				(0.0736)				(0.0732)
sDedu					0.00600	0.00663	0.00396	0.00281
					(0.0289)	(0.0290)	(0.0289)	(0.0289)
								
Observations	648	648	648	648	648	648	648	648
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
