	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale
								
Dedu	0.0325	0.0313	0.0330	0.0354				
	(0.0353)	(0.0356)	(0.0357)	(0.0360)				
Dbirth_rate	0.0898	0.0848	0.0761	0.0736	0.0925	0.0870	0.0783	0.0754
	(0.0867)	(0.0853)	(0.0856)	(0.0851)	(0.0866)	(0.0852)	(0.0855)	(0.0851)
DVeryEarly_disease_d	0.194	0.201	0.219	0.242	0.190	0.197	0.215	0.238
	(0.411)	(0.413)	(0.410)	(0.409)	(0.409)	(0.410)	(0.408)	(0.406)
Dincome		0.0310	0.0314	0.0494		0.0348	0.0352	0.0526
		(0.0668)	(0.0670)	(0.0667)		(0.0667)	(0.0668)	(0.0666)
Dmarried			-0.100	-0.0824			-0.0978	-0.0805
			(0.103)	(0.103)			(0.103)	(0.102)
Dhealth			-0.0142	-0.0127			-0.0120	-0.0105
			(0.0630)	(0.0634)			(0.0628)	(0.0632)
Dwork_over_40h				-0.168*				-0.164*
				(0.0897)				(0.0892)
sDedu					0.0187	0.0172	0.0190	0.0230
					(0.0330)	(0.0333)	(0.0332)	(0.0332)
								
Observations	648	648	648	648	648	648	648	648
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
