	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dfuture_decided	Dfuture_decided	Dfuture_decided	Dfuture_decided	Dfuture_decided	Dfuture_decided	Dfuture_decided	Dfuture_decided
								
Dedu	0.000264	0.00500	0.00133	-1.13e-05				
	(0.0541)	(0.0554)	(0.0552)	(0.0553)				
Dbirth_rate	-0.0455	-0.0246	0.00949	0.0109	-0.0453	-0.0246	0.00948	0.0111
	(0.181)	(0.180)	(0.185)	(0.186)	(0.181)	(0.180)	(0.186)	(0.186)
DVeryEarly_disease_d	-0.327	-0.355	-0.435	-0.448	-0.327	-0.355	-0.435	-0.448
	(0.534)	(0.528)	(0.532)	(0.542)	(0.534)	(0.528)	(0.532)	(0.542)
Dincome		-0.131	-0.136	-0.146		-0.130	-0.135	-0.145
		(0.113)	(0.113)	(0.113)		(0.113)	(0.113)	(0.114)
Dmarried			0.276	0.266			0.276	0.266
			(0.187)	(0.189)			(0.187)	(0.189)
Dhealth			-0.0673	-0.0681			-0.0672	-0.0681
			(0.118)	(0.117)			(0.117)	(0.117)
Dwork_over_40h				0.0943				0.0943
				(0.140)				(0.140)
sDedu					-0.000735	0.00458	0.00125	-0.00103
					(0.0525)	(0.0541)	(0.0539)	(0.0538)
								
Observations	648	648	648	648	648	648	648	648
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
