	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale
								
Dedu	0.0306	0.0323	0.0311	0.0324				
	(0.0359)	(0.0359)	(0.0359)	(0.0361)				
Dbirth_rate	0.116	0.123	0.135	0.133	0.116	0.123	0.135	0.133
	(0.108)	(0.109)	(0.106)	(0.107)	(0.109)	(0.110)	(0.107)	(0.108)
DVeryEarly_disease_d	0.323	0.313	0.286	0.299	0.321	0.310	0.284	0.297
	(0.452)	(0.451)	(0.448)	(0.443)	(0.451)	(0.450)	(0.447)	(0.442)
Dincome		-0.0489	-0.0505	-0.0408		-0.0475	-0.0491	-0.0399
		(0.0688)	(0.0691)	(0.0697)		(0.0687)	(0.0689)	(0.0695)
Dmarried			0.0935	0.103			0.0943	0.104
			(0.115)	(0.114)			(0.115)	(0.114)
Dhealth			-0.0211	-0.0203			-0.0196	-0.0188
			(0.0603)	(0.0607)			(0.0602)	(0.0606)
Dwork_over_40h				-0.0909				-0.0874
				(0.0981)				(0.0980)
sDedu					0.0276	0.0296	0.0284	0.0305
					(0.0322)	(0.0321)	(0.0320)	(0.0318)
								
Observations	648	648	648	648	648	648	648	648
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
