	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale
								
Dedu	-0.0420	-0.0418	-0.0378	-0.0377				
	(0.0264)	(0.0266)	(0.0268)	(0.0270)				
Dbirth_rate	0.0406	0.0414	0.0327	0.0326	0.0383	0.0397	0.0305	0.0304
	(0.0696)	(0.0694)	(0.0713)	(0.0714)	(0.0687)	(0.0688)	(0.0707)	(0.0709)
DVeryEarly_disease_d	-0.281	-0.282	-0.272	-0.271	-0.276	-0.278	-0.268	-0.266
	(0.290)	(0.292)	(0.278)	(0.277)	(0.291)	(0.292)	(0.278)	(0.277)
Dincome		-0.00515	-0.00745	-0.00683		-0.00891	-0.0114	-0.0104
		(0.0568)	(0.0567)	(0.0572)		(0.0561)	(0.0560)	(0.0566)
Dmarried			-0.203**	-0.202**			-0.205**	-0.204**
			(0.0871)	(0.0868)			(0.0872)	(0.0870)
Dhealth			-0.120**	-0.119**			-0.122**	-0.122**
			(0.0482)	(0.0481)			(0.0478)	(0.0478)
Dwork_over_40h				-0.00584				-0.0100
				(0.0658)				(0.0650)
sDedu					-0.0294	-0.0291	-0.0236	-0.0234
					(0.0247)	(0.0248)	(0.0245)	(0.0247)
								
Observations	648	648	648	648	648	648	648	648
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
