	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale
								
Dedu	0.0444	0.0436	0.0450	0.0453				
	(0.0357)	(0.0360)	(0.0361)	(0.0363)				
Dbirth_rate	0.117	0.114	0.116	0.116	0.122	0.118	0.120	0.120
	(0.0915)	(0.0909)	(0.0911)	(0.0913)	(0.0916)	(0.0908)	(0.0911)	(0.0912)
DVeryEarly_disease_d	-0.00753	-0.00275	-0.0137	-0.0111	-0.0145	-0.00831	-0.0192	-0.0174
	(0.337)	(0.338)	(0.329)	(0.328)	(0.334)	(0.334)	(0.326)	(0.324)
Dincome		0.0221	0.0199	0.0218		0.0285	0.0262	0.0276
		(0.0738)	(0.0741)	(0.0748)		(0.0735)	(0.0738)	(0.0745)
Dmarried			-0.0533	-0.0513			-0.0490	-0.0476
			(0.104)	(0.104)			(0.104)	(0.104)
Dhealth			-0.0791	-0.0790			-0.0758	-0.0757
			(0.0618)	(0.0618)			(0.0615)	(0.0616)
Dwork_over_40h				-0.0181				-0.0130
				(0.0909)				(0.0899)
sDedu					0.0195	0.0183	0.0204	0.0207
					(0.0333)	(0.0336)	(0.0335)	(0.0334)
								
Observations	648	648	648	648	648	648	648	648
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
