	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dlife_short	Dlife_short	Dlife_short	Dlife_short	Dlife_short	Dlife_short	Dlife_short	Dlife_short
								
Dedu	-0.0266	-0.0322	-0.0241	-0.0261				
	(0.0484)	(0.0488)	(0.0486)	(0.0490)				
Dbirth_rate	0.133	0.109	0.0926	0.0947	0.141	0.115	0.0990	0.101
	(0.163)	(0.164)	(0.173)	(0.173)	(0.164)	(0.165)	(0.174)	(0.174)
DVeryEarly_disease_d	-0.757	-0.724	-0.707	-0.726	-0.761	-0.726	-0.710	-0.729
	(0.838)	(0.841)	(0.819)	(0.819)	(0.837)	(0.841)	(0.819)	(0.819)
Dincome		0.154	0.149	0.135		0.160	0.155	0.141
		(0.111)	(0.112)	(0.112)		(0.112)	(0.112)	(0.112)
Dmarried			-0.398**	-0.413**			-0.394**	-0.408**
			(0.164)	(0.164)			(0.163)	(0.163)
Dhealth			-0.246**	-0.247**			-0.245**	-0.247**
			(0.120)	(0.120)			(0.120)	(0.121)
Dwork_over_40h				0.136				0.133
				(0.148)				(0.147)
sDedu					-0.0578	-0.0643	-0.0537	-0.0569
					(0.0474)	(0.0480)	(0.0478)	(0.0482)
								
Observations	648	648	648	648	648	648	648	648
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
