	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dsad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale
								
Dedu	-0.0423*	-0.0426*	-0.0390*	-0.0399*				
	(0.0228)	(0.0231)	(0.0235)	(0.0234)				
Dbirth_rate	0.0761	0.0749	0.0626	0.0636	0.0737	0.0732	0.0606	0.0616
	(0.0702)	(0.0707)	(0.0705)	(0.0699)	(0.0700)	(0.0705)	(0.0705)	(0.0699)
DVeryEarly_disease_d	0.114	0.116	0.137	0.128	0.119	0.120	0.141	0.132
	(0.225)	(0.226)	(0.230)	(0.227)	(0.225)	(0.226)	(0.229)	(0.227)
Dincome		0.00754	0.00676	-0.000285		0.00372	0.00279	-0.00368
		(0.0586)	(0.0580)	(0.0586)		(0.0586)	(0.0579)	(0.0587)
Dmarried			-0.194**	-0.201**			-0.197**	-0.203**
			(0.0896)	(0.0896)			(0.0898)	(0.0898)
Dhealth			-0.0738*	-0.0744*			-0.0763*	-0.0768*
			(0.0447)	(0.0446)			(0.0446)	(0.0446)
Dwork_over_40h				0.0658				0.0614
				(0.0706)				(0.0703)
sDedu					-0.0295	-0.0296	-0.0251	-0.0266
					(0.0225)	(0.0228)	(0.0232)	(0.0231)
								
Observations	648	648	648	648	648	648	648	648
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
