	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale
								
Dedu	0.0170	0.0159	0.0153	0.0157				
	(0.0232)	(0.0236)	(0.0235)	(0.0237)				
Dbirth_rate	-0.0210	-0.0257	-0.0146	-0.0150	-0.0190	-0.0241	-0.0129	-0.0133
	(0.0999)	(0.101)	(0.0997)	(0.0996)	(0.0998)	(0.101)	(0.0996)	(0.0995)
DVeryEarly_disease_d	0.206	0.213	0.185	0.188	0.204	0.211	0.183	0.186
	(0.270)	(0.270)	(0.275)	(0.275)	(0.270)	(0.271)	(0.275)	(0.276)
Dincome		0.0295	0.0272	0.0300		0.0321	0.0297	0.0322
		(0.0509)	(0.0506)	(0.0511)		(0.0504)	(0.0501)	(0.0507)
Dmarried			0.0641	0.0668			0.0657	0.0683
			(0.0849)	(0.0847)			(0.0847)	(0.0845)
Dhealth			-0.0490	-0.0488			-0.0478	-0.0476
			(0.0509)	(0.0509)			(0.0507)	(0.0506)
Dwork_over_40h				-0.0260				-0.0243
				(0.0732)				(0.0728)
sDedu					0.00705	0.00574	0.00549	0.00608
					(0.0210)	(0.0212)	(0.0212)	(0.0212)
								
Observations	648	648	648	648	648	648	648	648
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
