	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dscared_control_4scale	Dscared_control_4scale	Dscared_control_4scale	Dscared_control_4scale	Dscared_control_4scale	Dscared_control_4scale	Dscared_control_4scale	Dscared_control_4scale
								
Dedu	0.0294	0.0306	0.0312	0.0313				
	(0.0303)	(0.0309)	(0.0308)	(0.0309)				
Dbirth_rate	0.0507	0.0558	0.0646	0.0645	0.0538	0.0582	0.0669	0.0669
	(0.0726)	(0.0733)	(0.0743)	(0.0744)	(0.0723)	(0.0731)	(0.0743)	(0.0743)
DVeryEarly_disease_d	-0.201	-0.208	-0.234	-0.233	-0.206	-0.212	-0.237	-0.237
	(0.236)	(0.237)	(0.245)	(0.246)	(0.236)	(0.236)	(0.244)	(0.245)
Dincome		-0.0321	-0.0352	-0.0346		-0.0282	-0.0313	-0.0311
		(0.0560)	(0.0559)	(0.0573)		(0.0553)	(0.0553)	(0.0568)
Dmarried			0.00359	0.00419			0.00616	0.00639
			(0.0866)	(0.0873)			(0.0861)	(0.0869)
Dhealth			-0.0875*	-0.0875*			-0.0854	-0.0854
			(0.0523)	(0.0524)			(0.0520)	(0.0521)
Dwork_over_40h				-0.00566				-0.00215
				(0.0670)				(0.0665)
sDedu					0.0144	0.0155	0.0169	0.0169
					(0.0278)	(0.0284)	(0.0284)	(0.0284)
								
Observations	648	648	648	648	648	648	648	648
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
