	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale
								
Dedu	0.0419	0.0403	0.0416	0.0410				
	(0.0328)	(0.0332)	(0.0333)	(0.0333)				
Dbirth_rate	0.146	0.139	0.133	0.134	0.147	0.139	0.134	0.135
	(0.0999)	(0.0982)	(0.0980)	(0.0982)	(0.0998)	(0.0980)	(0.0979)	(0.0980)
DVeryEarly_disease_d	-0.279	-0.269	-0.259	-0.264	-0.282	-0.272	-0.262	-0.268
	(0.190)	(0.192)	(0.195)	(0.195)	(0.188)	(0.190)	(0.193)	(0.193)
Dincome		0.0436	0.0436	0.0395		0.0459	0.0460	0.0415
		(0.0729)	(0.0732)	(0.0748)		(0.0726)	(0.0729)	(0.0746)
Dmarried			-0.0736	-0.0777			-0.0721	-0.0766
			(0.0951)	(0.0962)			(0.0949)	(0.0960)
Dhealth			-0.0190	-0.0193			-0.0169	-0.0173
			(0.0650)	(0.0648)			(0.0652)	(0.0651)
Dwork_over_40h				0.0384				0.0429
				(0.0889)				(0.0887)
sDedu					0.0360	0.0341	0.0356	0.0346
					(0.0321)	(0.0325)	(0.0325)	(0.0323)
								
Observations	648	648	648	648	648	648	648	648
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
