	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale
								
Dedu_level	-0.0255	-0.0238	-0.0243	-0.0242				
	(0.0460)	(0.0462)	(0.0463)	(0.0464)				
Dbirth_rate	0.00963	0.0123	0.0239	0.0243	0.0102	0.0129	0.0245	0.0248
	(0.102)	(0.102)	(0.104)	(0.104)	(0.102)	(0.102)	(0.104)	(0.104)
DVeryEarly_disease_d	0.197	0.193	0.171	0.166	0.197	0.193	0.171	0.166
	(0.274)	(0.274)	(0.262)	(0.261)	(0.274)	(0.275)	(0.262)	(0.261)
Dincome		-0.0166	-0.0178	-0.0220		-0.0168	-0.0180	-0.0221
		(0.0635)	(0.0636)	(0.0645)		(0.0635)	(0.0635)	(0.0645)
Dmarried			0.137*	0.133			0.137*	0.133
			(0.0808)	(0.0812)			(0.0808)	(0.0812)
Dhealth			0.0256	0.0253			0.0258	0.0255
			(0.0507)	(0.0508)			(0.0508)	(0.0509)
Dwork_over_40h				0.0362				0.0358
				(0.0722)				(0.0722)
sDedu_level					-0.0255	-0.0237	-0.0238	-0.0238
					(0.0461)	(0.0463)	(0.0463)	(0.0465)
								
Observations	660	660	660	660	660	660	660	660
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
