	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale
								
Dedu_level	0.0383	0.0358	0.0362	0.0356				
	(0.0557)	(0.0567)	(0.0569)	(0.0571)				
Dbirth_rate	0.0919	0.0880	0.0827	0.0814	0.0912	0.0872	0.0819	0.0806
	(0.0854)	(0.0842)	(0.0844)	(0.0840)	(0.0855)	(0.0842)	(0.0844)	(0.0840)
DVeryEarly_disease_d	0.190	0.195	0.204	0.224	0.190	0.195	0.204	0.224
	(0.409)	(0.410)	(0.407)	(0.405)	(0.409)	(0.410)	(0.407)	(0.405)
Dincome		0.0240	0.0243	0.0408		0.0247	0.0250	0.0414
		(0.0677)	(0.0679)	(0.0679)		(0.0677)	(0.0679)	(0.0679)
Dmarried			-0.0725	-0.0574			-0.0731	-0.0580
			(0.104)	(0.103)			(0.104)	(0.103)
Dhealth			-0.0230	-0.0217			-0.0233	-0.0220
			(0.0629)	(0.0632)			(0.0630)	(0.0633)
Dwork_over_40h				-0.142				-0.141
				(0.0890)				(0.0889)
sDedu_level					0.0357	0.0330	0.0331	0.0332
					(0.0560)	(0.0571)	(0.0572)	(0.0574)
								
Observations	660	660	660	660	660	660	660	660
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
