	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dfuture_decided	Dfuture_decided	Dfuture_decided	Dfuture_decided	Dfuture_decided	Dfuture_decided	Dfuture_decided	Dfuture_decided
								
Dedu_level	-0.0121	0.00190	0.00179	0.00215				
	(0.0778)	(0.0818)	(0.0822)	(0.0823)				
Dbirth_rate	-0.0560	-0.0344	-0.00707	-0.00635	-0.0551	-0.0341	-0.00683	-0.00612
	(0.180)	(0.181)	(0.187)	(0.187)	(0.180)	(0.180)	(0.186)	(0.186)
DVeryEarly_disease_d	-0.326	-0.355	-0.414	-0.426	-0.327	-0.355	-0.414	-0.426
	(0.533)	(0.527)	(0.530)	(0.540)	(0.533)	(0.527)	(0.530)	(0.539)
Dincome		-0.133	-0.137	-0.147		-0.131	-0.136	-0.145
		(0.116)	(0.115)	(0.116)		(0.116)	(0.115)	(0.117)
Dmarried			0.259	0.250			0.258	0.250
			(0.189)	(0.191)			(0.189)	(0.191)
Dhealth			-0.00946	-0.0103			-0.00936	-0.0102
			(0.120)	(0.120)			(0.120)	(0.120)
Dwork_over_40h				0.0833				0.0828
				(0.137)				(0.138)
sDedu_level					-0.0221	-0.00780	-0.00741	-0.00744
					(0.0774)	(0.0816)	(0.0821)	(0.0821)
								
Observations	660	660	660	660	660	660	660	660
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
