	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale	Dhappiness_hide_4scale
								
Dedu_level	0.0475	0.0561	0.0564	0.0562				
	(0.0534)	(0.0541)	(0.0546)	(0.0547)				
Dbirth_rate	0.121	0.135	0.149	0.148	0.120	0.133	0.147	0.147
	(0.108)	(0.110)	(0.107)	(0.107)	(0.109)	(0.110)	(0.107)	(0.107)
DVeryEarly_disease_d	0.320	0.302	0.269	0.277	0.320	0.302	0.270	0.277
	(0.452)	(0.450)	(0.446)	(0.443)	(0.452)	(0.450)	(0.446)	(0.443)
Dincome		-0.0814	-0.0840	-0.0778		-0.0818	-0.0844	-0.0784
		(0.0702)	(0.0704)	(0.0713)		(0.0703)	(0.0705)	(0.0713)
Dmarried			0.112	0.118			0.112	0.117
			(0.116)	(0.116)			(0.116)	(0.116)
Dhealth			-0.0284	-0.0279			-0.0289	-0.0284
			(0.0620)	(0.0622)			(0.0621)	(0.0624)
Dwork_over_40h				-0.0538				-0.0526
				(0.0983)				(0.0984)
sDedu_level					0.0514	0.0603	0.0607	0.0607
					(0.0538)	(0.0545)	(0.0549)	(0.0550)
								
Observations	660	660	660	660	660	660	660	660
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
