	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale
								
Dedu_level	-0.0460	-0.0455	-0.0433	-0.0433				
	(0.0404)	(0.0411)	(0.0414)	(0.0414)				
Dbirth_rate	0.0297	0.0305	0.0225	0.0224	0.0307	0.0315	0.0236	0.0235
	(0.0688)	(0.0688)	(0.0704)	(0.0705)	(0.0688)	(0.0687)	(0.0704)	(0.0705)
DVeryEarly_disease_d	-0.274	-0.275	-0.269	-0.269	-0.274	-0.275	-0.270	-0.269
	(0.293)	(0.294)	(0.281)	(0.280)	(0.293)	(0.294)	(0.281)	(0.280)
Dincome		-0.00481	-0.00616	-0.00587		-0.00507	-0.00621	-0.00583
		(0.0560)	(0.0560)	(0.0566)		(0.0559)	(0.0559)	(0.0565)
Dmarried			-0.189**	-0.189**			-0.188**	-0.188**
			(0.0868)	(0.0867)			(0.0868)	(0.0867)
Dhealth			-0.124***	-0.124***			-0.124***	-0.124***
			(0.0473)	(0.0472)			(0.0473)	(0.0472)
Dwork_over_40h				-0.00248				-0.00326
				(0.0642)				(0.0641)
sDedu_level					-0.0459	-0.0454	-0.0444	-0.0444
					(0.0407)	(0.0413)	(0.0417)	(0.0417)
								
Observations	660	660	660	660	660	660	660	660
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
