	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dhateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale	Dhateful_control_4scale
								
Dedu_level	0.0401	0.0348	0.0348	0.0347				
	(0.0459)	(0.0460)	(0.0460)	(0.0460)				
Dbirth_rate	-0.141*	-0.149*	-0.134	-0.134	-0.141*	-0.150*	-0.135	-0.135
	(0.0846)	(0.0835)	(0.0840)	(0.0841)	(0.0848)	(0.0837)	(0.0842)	(0.0843)
DVeryEarly_disease_d	0.0890	0.100	0.0671	0.0731	0.0889	0.100	0.0672	0.0731
	(0.199)	(0.198)	(0.195)	(0.197)	(0.199)	(0.198)	(0.195)	(0.197)
Dincome		0.0507	0.0483	0.0533		0.0516	0.0491	0.0540
		(0.0680)	(0.0678)	(0.0689)		(0.0680)	(0.0678)	(0.0689)
Dmarried			0.134*	0.138*			0.133*	0.138*
			(0.0773)	(0.0781)			(0.0773)	(0.0781)
Dhealth			-0.0134	-0.0130			-0.0137	-0.0133
			(0.0549)	(0.0547)			(0.0549)	(0.0548)
Dwork_over_40h				-0.0428				-0.0424
				(0.0715)				(0.0715)
sDedu_level					0.0363	0.0307	0.0310	0.0310
					(0.0458)	(0.0458)	(0.0457)	(0.0457)
								
Observations	660	660	660	660	660	660	660	660
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
