	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale	Dhateful_hide_4scale
								
Dedu_level	0.00842	0.00594	0.00729	0.00729				
	(0.0532)	(0.0544)	(0.0547)	(0.0548)				
Dbirth_rate	0.125	0.121	0.127	0.126	0.125	0.121	0.127	0.127
	(0.0909)	(0.0900)	(0.0906)	(0.0907)	(0.0910)	(0.0901)	(0.0907)	(0.0908)
DVeryEarly_disease_d	-0.0170	-0.0119	-0.0307	-0.0305	-0.0175	-0.0121	-0.0308	-0.0306
	(0.332)	(0.333)	(0.324)	(0.323)	(0.332)	(0.333)	(0.324)	(0.322)
Dincome		0.0235	0.0211	0.0212		0.0249	0.0225	0.0227
		(0.0736)	(0.0740)	(0.0749)		(0.0737)	(0.0740)	(0.0750)
Dmarried			-0.0250	-0.0249			-0.0255	-0.0253
			(0.105)	(0.105)			(0.105)	(0.105)
Dhealth			-0.0851	-0.0851			-0.0850	-0.0850
			(0.0617)	(0.0617)			(0.0617)	(0.0617)
Dwork_over_40h				-0.00129				-0.00163
				(0.0879)				(0.0879)
sDedu_level					0.00103	-0.00167	-0.000882	-0.000882
					(0.0539)	(0.0551)	(0.0555)	(0.0555)
								
Observations	660	660	660	660	660	660	660	660
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
