	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dsad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale	Dsad_4scale
								
Dedu_level	-0.0686*	-0.0690*	-0.0678*	-0.0675*				
	(0.0369)	(0.0377)	(0.0378)	(0.0377)				
Dbirth_rate	0.0667	0.0660	0.0517	0.0522	0.0678	0.0674	0.0531	0.0536
	(0.0711)	(0.0716)	(0.0710)	(0.0706)	(0.0709)	(0.0713)	(0.0709)	(0.0704)
DVeryEarly_disease_d	0.119	0.120	0.145	0.137	0.120	0.120	0.145	0.137
	(0.222)	(0.223)	(0.227)	(0.225)	(0.223)	(0.224)	(0.227)	(0.225)
Dincome		0.00427	0.00497	-0.00170		0.00248	0.00333	-0.00320
		(0.0582)	(0.0576)	(0.0586)		(0.0582)	(0.0576)	(0.0586)
Dmarried			-0.200**	-0.207**			-0.199**	-0.205**
			(0.0886)	(0.0888)			(0.0887)	(0.0888)
Dhealth			-0.0675	-0.0681			-0.0670	-0.0676
			(0.0448)	(0.0448)			(0.0448)	(0.0448)
Dwork_over_40h				0.0573				0.0566
				(0.0700)				(0.0699)
sDedu_level					-0.0604	-0.0606	-0.0602	-0.0602
					(0.0375)	(0.0383)	(0.0384)	(0.0383)
								
Observations	660	660	660	660	660	660	660	660
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
