	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale	Dsad_control_4scale
								
Dedu_level	0.0246	0.0222	0.0230	0.0229				
	(0.0413)	(0.0420)	(0.0419)	(0.0420)				
Dbirth_rate	-0.00862	-0.0123	-0.00124	-0.00141	-0.00909	-0.0127	-0.00174	-0.00192
	(0.0996)	(0.101)	(0.0998)	(0.0997)	(0.0998)	(0.101)	(0.0999)	(0.0999)
DVeryEarly_disease_d	0.203	0.208	0.179	0.182	0.203	0.208	0.179	0.182
	(0.269)	(0.269)	(0.274)	(0.275)	(0.269)	(0.269)	(0.274)	(0.275)
Dincome		0.0224	0.0197	0.0221		0.0228	0.0201	0.0225
		(0.0504)	(0.0500)	(0.0507)		(0.0503)	(0.0499)	(0.0507)
Dmarried			0.0598	0.0620			0.0594	0.0616
			(0.0853)	(0.0852)			(0.0853)	(0.0852)
Dhealth			-0.0542	-0.0539			-0.0543	-0.0541
			(0.0498)	(0.0498)			(0.0498)	(0.0498)
Dwork_over_40h				-0.0208				-0.0206
				(0.0712)				(0.0712)
sDedu_level					0.0230	0.0205	0.0211	0.0211
					(0.0411)	(0.0419)	(0.0417)	(0.0417)
								
Observations	660	660	660	660	660	660	660	660
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
